timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
1918490,1918,1,183881,214878,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1948956,1869,1,185148,216778,-0.40,-0.68,9.72,-0.03,-0.01,-0.00,31.35
1989218,1872,1,185792,217017,-0.45,-0.70,9.99,-0.03,-0.01,-0.00,31.35
2028208,1904,1,186772,215689,-0.37,-0.70,9.92,-0.03,-0.03,0.00,31.35
2068190,1941,1,185289,204728,-0.35,-0.72,9.89,-0.02,0.02,-0.00,31.35
2108189,1923,1,179479,187188,-0.45,-0.68,9.97,-0.02,0.02,-0.00,31.35
2148191,1959,1,174121,179649,-0.41,-0.65,9.93,-0.02,0.01,-0.00,31.35
2188189,1962,1,173399,179588,-0.42,-0.68,9.94,-0.03,-0.02,-0.00,31.35
2228208,1979,1,173907,180108,-0.41,-0.67,9.95,-0.03,-0.01,-0.00,31.35
2268207,1974,1,174050,181021,-0.42,-0.70,9.93,-0.03,-0.00,-0.01,31.35
2308207,1969,1,174720,180398,-0.45,-0.65,9.95,-0.03,-0.02,-0.00,31.35
2348208,1975,1,173695,177225,-0.46,-0.66,9.97,-0.03,-0.02,-0.00,31.35
2388207,1969,1,172767,175962,-0.43,-0.68,9.94,-0.03,-0.00,-0.00,31.35
2428214,1989,1,172879,175818,-0.42,-0.67,9.96,-0.03,-0.01,-0.00,31.35
2468208,1984,1,172600,175209,-0.44,-0.65,9.94,-0.03,-0.01,-0.01,31.35
2508208,1991,1,172886,176842,-0.46,-0.67,9.91,-0.04,-0.01,-0.01,31.35
2548207,1995,1,173798,178455,-0.43,-0.66,9.93,-0.04,-0.01,-0.01,31.35
2588208,1993,1,174457,179984,-0.43,-0.67,9.94,-0.03,0.01,-0.00,31.35
2628199,1975,1,174490,177720,-0.44,-0.68,9.96,-0.03,-0.01,-0.00,31.35
2668208,1991,1,172253,174413,-0.44,-0.66,9.94,-0.03,0.00,-0.00,31.35
2708191,1978,1,171511,174254,-0.45,-0.65,9.94,-0.03,-0.00,-0.01,31.35
2748208,1981,1,171720,174637,-0.46,-0.64,9.95,-0.04,-0.01,-0.00,31.35
2788207,1989,1,171594,174555,-0.46,-0.65,9.94,-0.03,-0.01,-0.01,31.35
2828208,1968,1,171479,174436,-0.43,-0.66,9.95,-0.03,-0.01,-0.01,31.35
2868207,1969,1,171199,173854,-0.44,-0.66,9.94,-0.03,-0.01,-0.00,31.35
2908208,1963,1,170845,172674,-0.45,-0.65,9.93,-0.03,-0.01,-0.00,31.35
2948207,1943,1,169807,171186,-0.45,-0.65,9.96,-0.03,-0.00,-0.01,31.35
2988893,1924,1,169655,172128,-0.46,-0.66,9.94,-0.03,-0.01,-0.01,31.15
3029207,1933,1,170631,174455,-0.46,-0.66,9.94,-0.04,-0.02,-0.01,31.15
3069208,1924,1,171656,176784,-0.47,-0.67,9.94,-0.04,-0.02,-0.01,31.15
3109208,1924,1,172825,179567,-0.45,-0.66,9.95,-0.04,-0.02,-0.01,31.15
3149208,1919,1,174620,185641,-0.45,-0.64,9.92,-0.04,-0.02,-0.01,31.15
3189208,1919,1,178391,196004,-0.44,-0.66,9.97,-0.04,-0.03,-0.01,31.15
3229209,1910,1,181632,204094,-0.46,-0.67,9.96,-0.04,-0.02,-0.01,31.15
3269207,1904,1,184602,211977,-0.44,-0.68,9.95,-0.04,-0.04,-0.01,31.15
3309208,1905,1,186934,216391,-0.40,-0.67,9.93,-0.04,-0.04,-0.01,31.15
3349208,1898,1,187973,218325,-0.43,-0.66,9.97,-0.04,-0.03,-0.01,31.15
3389208,1914,1,188661,220169,-0.43,-0.70,10.00,-0.05,-0.04,-0.01,31.15
3429208,1910,1,189417,221916,-0.38,-0.69,9.93,-0.05,-0.07,-0.01,31.15
3469207,1904,1,189893,222976,-0.38,-0.70,9.94,-0.05,-0.03,-0.01,31.15
3509208,1918,1,190072,223098,-0.35,-0.70,9.96,-0.05,-0.03,-0.01,31.15
3549208,1921,1,189685,221533,-0.35,-0.71,9.92,-0.05,-0.04,-0.01,31.15
3589208,1913,1,189099,219830,-0.34,-0.73,9.95,-0.05,-0.03,-0.01,31.15
3629208,1911,1,188561,218276,-0.32,-0.73,9.96,-0.03,-0.02,-0.00,31.15
3667209,1966,1,188313,217864,-0.32,-0.71,9.94,-0.03,-0.02,-0.01,31.15
3707207,1952,1,188479,218152,-0.33,-0.73,9.94,-0.04,-0.02,-0.01,31.15
3747209,1959,1,188675,218819,-0.33,-0.72,9.93,-0.04,-0.02,-0.01,31.15
3787207,1963,1,188972,219574,-0.32,-0.73,9.94,-0.04,-0.02,-0.01,31.15
3827211,1953,1,189260,220153,-0.32,-0.72,9.95,-0.04,-0.02,-0.01,31.15
3867209,1948,1,189505,220914,-0.33,-0.73,9.93,-0.05,-0.02,-0.01,31.15
3907210,1955,1,189753,221572,-0.30,-0.74,9.95,-0.05,-0.02,-0.01,31.15
3947208,1966,1,189983,222309,-0.31,-0.74,9.95,-0.05,-0.03,-0.01,31.15
3987209,1973,1,190224,223253,-0.32,-0.74,9.97,-0.05,-0.03,-0.01,31.15
4027935,1914,1,190513,224217,-0.28,-0.75,9.96,-0.04,-0.04,-0.01,31.81
4068215,1917,1,190712,225216,-0.26,-0.75,9.96,-0.04,-0.02,-0.01,31.81
4108209,1919,1,191010,225801,-0.28,-0.75,9.96,-0.04,-0.02,-0.01,31.81
4148208,1917,1,191015,224860,-0.27,-0.77,9.96,-0.04,-0.03,-0.00,31.81
4188208,1919,1,190187,222576,-0.24,-0.77,9.91,-0.03,-0.02,-0.01,31.81
4228207,1925,1,189557,221500,-0.26,-0.78,9.95,-0.03,-0.01,-0.01,31.81
4268229,1922,1,189413,221067,-0.24,-0.74,9.95,-0.03,-0.02,-0.00,31.81
4308207,1936,1,189330,220878,-0.27,-0.75,9.97,-0.03,-0.01,-0.00,31.81
4348207,1926,1,189320,220867,-0.24,-0.74,9.96,-0.03,-0.01,-0.00,31.81
4388208,1927,1,189398,221584,-0.27,-0.75,9.94,-0.04,-0.01,-0.00,31.81
4428207,1936,1,189762,222353,-0.24,-0.75,9.96,-0.03,-0.01,-0.01,31.81
4468233,1905,1,189907,222707,-0.25,-0.76,9.96,-0.04,-0.01,-0.01,31.81
4508207,1921,1,189960,222906,-0.26,-0.77,9.96,-0.03,-0.01,-0.00,31.81
4548207,1921,1,190050,223196,-0.25,-0.76,9.94,-0.04,-0.01,-0.00,31.81
4588207,1904,1,190155,223263,-0.25,-0.76,9.95,-0.04,-0.00,-0.01,31.81
4628207,1915,1,190127,223187,-0.24,-0.75,9.96,-0.04,-0.00,-0.00,31.81
4668206,1930,1,189942,223127,-0.27,-0.76,9.97,-0.04,-0.01,-0.01,31.81
4708207,1951,1,189927,222879,-0.26,-0.79,9.94,-0.04,-0.01,-0.01,31.81
4748206,1957,1,189766,222507,-0.27,-0.77,9.95,-0.04,-0.01,-0.01,31.81
4788206,1937,1,189467,221125,-0.25,-0.78,9.94,-0.03,-0.01,-0.01,31.81
