timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
1927490,1744,1,209625,253345,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957961,1661,1,209502,252953,0.30,-1.80,12.51,0.01,0.19,0.47,27.61
1998159,1754,1,209540,252812,0.37,-1.37,8.00,0.01,0.18,-0.02,27.61
2038162,1793,1,209621,253862,0.28,-1.53,9.63,-0.01,-0.06,-0.03,27.61
2078215,1808,1,209764,253702,0.18,-1.37,10.60,-0.09,0.13,-0.04,27.61
2118176,1834,1,209563,254053,0.62,-0.27,10.99,-0.01,-0.15,-0.03,27.61
2158196,1872,1,209786,254204,1.43,-1.57,7.21,-0.14,-0.03,-0.05,27.61
2198196,1865,1,209981,255115,-0.20,-1.70,9.24,-0.09,-0.05,-0.04,27.61
2238210,1910,1,210065,254787,0.95,-0.60,8.03,-0.16,0.05,-0.06,27.61
2278173,1874,1,210208,254825,0.08,-0.66,10.99,-0.16,-0.01,-0.05,27.61
2318196,1936,1,210085,254071,0.74,-0.96,9.45,-0.18,-0.01,-0.06,27.61
2358199,1915,1,209711,253516,-0.62,-1.78,11.25,-0.15,0.18,-0.04,27.61
2398197,1902,1,208814,250936,0.90,-1.14,7.61,-0.16,0.03,-0.06,27.61
2438173,1913,1,208617,250635,-0.10,-1.41,10.75,-0.19,0.04,-0.05,27.61
2478196,1952,1,208787,251063,0.33,-1.65,9.33,-0.14,0.09,-0.05,27.61
2518176,1935,1,208836,251907,-0.58,-2.24,9.23,-0.15,0.09,-0.05,27.61
2559196,1877,1,208804,251713,0.68,-1.00,8.67,-0.11,0.04,-0.05,27.61
2597173,1843,1,209027,253224,-0.96,-2.27,10.84,-0.09,0.18,-0.04,27.61
2637196,1771,1,208847,253188,0.13,-1.39,8.25,-0.07,0.06,-0.05,27.61
2677173,1798,1,208979,253734,-0.64,-2.13,11.66,-0.08,0.08,-0.03,27.61
2717196,1809,1,208640,253244,-0.71,-2.13,8.19,0.00,0.12,-0.04,27.61
2757189,1886,1,208400,253398,-0.76,-2.18,9.46,0.01,0.06,-0.05,27.61
2797176,1840,1,208508,253888,-0.54,-1.28,8.98,0.02,0.07,-0.05,27.61
2837174,1869,1,208709,254119,-1.38,-1.40,10.43,0.04,0.08,-0.24,27.61
2877176,1827,1,208825,254711,-0.90,-2.70,10.60,0.03,0.16,-0.04,27.61
2917173,1920,1,208787,254814,-0.59,-1.61,8.17,0.02,-0.05,-0.15,27.61
2957197,1926,1,208997,255319,-0.96,-2.62,11.06,0.06,0.15,-0.04,27.61
2997863,1939,1,209065,255296,-0.76,-2.26,10.65,0.06,-0.02,-0.06,27.61
3036196,1947,1,209090,255426,-0.58,-2.01,10.62,0.11,0.02,-0.04,27.61
3076213,1947,1,208778,254520,-0.57,-2.44,8.99,0.05,-0.03,-0.02,27.61
3116197,1942,1,208560,254403,0.14,-1.64,10.15,0.04,-0.11,-0.06,27.61
3156176,1994,1,208401,254126,-0.78,-1.36,11.56,0.01,-0.01,-0.06,27.61
3196196,1930,1,208527,254260,0.25,-0.74,9.65,0.04,-0.11,-0.06,27.61
3236174,1947,1,208793,254173,-0.90,-2.02,12.59,-0.01,0.03,-0.05,27.61
3276197,1971,1,208682,254438,0.06,-1.16,10.16,0.05,-0.04,-0.06,27.61
3316173,2002,1,208685,254601,-0.63,-1.78,12.88,-0.03,0.02,-0.05,27.61
3356196,2018,1,208455,254575,-0.08,-0.91,10.46,-0.01,-0.05,-0.06,27.61
3396209,2037,1,208661,254654,0.38,-1.56,10.92,-0.05,-0.09,-0.05,27.61
3436196,2043,1,208572,254155,-0.47,-1.87,9.10,-0.10,-0.02,-0.05,27.61
3476209,1951,1,208498,253801,0.45,-0.64,10.92,-0.07,-0.10,-0.05,27.61
3516197,1904,1,208348,252897,-0.55,-1.68,10.15,-0.11,0.04,-0.04,27.61
3556196,1898,1,208120,252955,0.19,-1.63,11.05,-0.01,-0.05,-0.04,27.61
3596196,1894,1,208546,253521,0.40,-1.70,8.98,-0.04,-0.03,-0.02,27.61
3636193,1906,1,209143,254407,0.62,-1.06,9.26,-0.02,-0.09,-0.03,27.61
3676196,1908,1,209553,254679,0.58,-1.63,6.91,-0.04,-0.07,-0.04,27.61
3716193,1899,1,209832,254612,0.91,-0.44,9.89,-0.07,-0.15,-0.04,27.61
3756197,1904,1,210014,254776,0.56,-1.79,10.45,-0.05,0.06,-0.03,27.61
3796176,1938,1,210108,255122,0.81,-0.55,8.73,-0.03,-0.14,-0.03,27.61
3836196,1898,1,210075,255237,0.40,-1.57,10.90,-0.07,0.03,-0.02,27.61
3876173,1915,1,210117,255456,0.99,-0.03,8.60,0.01,-0.06,-0.03,27.61
3916176,1879,1,210002,255595,-0.28,-1.82,13.24,-0.10,0.03,-0.01,27.61
3956196,1890,1,210000,255753,1.02,-0.45,6.77,0.05,-0.05,-0.01,27.61
3996192,1751,1,209670,255306,-0.01,-2.43,12.71,-0.14,-0.02,-0.01,27.61
