timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
1918494,1535,1,195542,240730,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1948966,1279,1,195496,240854,0.54,-1.08,11.90,-0.16,-0.00,-0.00,29.79
1989206,1392,1,195263,239782,0.02,-0.86,8.15,-0.12,-0.06,-0.00,29.79
2029196,1504,1,195149,240340,0.38,-1.11,10.85,-0.09,-0.00,0.02,29.79
2069194,1456,1,195390,240210,0.60,-1.06,8.33,-0.08,0.15,-0.02,29.79
2109176,1529,1,195577,240620,-0.10,-1.24,10.56,-0.06,0.06,-0.04,29.79
2149199,1573,1,195417,240430,0.09,-0.67,10.12,0.00,0.02,-0.01,29.79
2189170,1580,1,195446,240234,0.91,-0.59,9.33,0.01,-0.11,0.00,29.79
2229170,1639,1,195358,240040,0.49,-1.67,7.47,0.01,-0.01,0.00,29.79
2269166,1643,1,195515,239784,0.14,-1.40,6.28,0.01,-0.08,0.00,29.79
2309170,1680,1,195743,240032,0.40,-1.11,9.83,-0.03,0.02,0.22,29.79
2349166,1750,1,195992,240459,0.19,-0.98,9.25,0.03,0.10,0.01,29.79
2389170,1777,1,196301,240471,-0.18,-0.69,9.26,0.02,0.16,-0.00,29.79
2429176,1799,1,195979,240145,0.70,-0.06,10.22,0.03,-0.02,-0.00,29.79
2469179,1823,1,195876,239760,0.39,-1.62,8.77,0.02,-0.02,0.00,29.79
2509166,1851,1,195908,239664,0.22,-1.50,9.28,0.01,-0.04,-0.00,29.79
2549179,1870,1,196529,240434,-0.31,-1.05,9.96,-0.01,0.10,0.23,29.79
2589179,1868,1,196702,240789,0.39,-1.23,10.86,0.02,-0.03,0.00,29.79
2629170,1941,1,196991,241830,-0.24,-1.59,11.45,-0.01,0.12,0.12,29.79
2669179,1938,1,197081,241794,-0.26,-0.42,9.70,0.00,0.07,-0.01,29.79
2709179,1953,1,197510,242140,0.46,-1.32,12.73,-0.05,-0.04,-0.01,29.79
2749199,1959,1,197632,241852,0.49,0.20,9.92,-0.07,-0.02,0.24,29.79
2787170,1993,1,198868,242438,0.16,-1.06,10.68,-0.09,0.01,0.53,29.79
2827167,1934,1,200051,243908,0.88,-0.67,8.09,-0.07,-0.01,0.28,29.79
2867179,1937,1,201197,244239,-0.18,-1.84,9.13,-0.11,-0.02,0.19,29.79
2907199,2000,1,201629,244039,0.57,-1.10,10.34,-0.07,0.12,-0.01,29.79
2947179,2075,1,201422,243339,-0.53,-1.20,7.91,-0.05,0.03,0.00,29.79
2987865,2045,1,201540,243604,0.45,0.08,8.42,-0.02,-0.11,0.13,30.25
3028170,2032,1,202313,245174,0.65,-0.27,8.01,-0.06,0.02,0.16,30.25
3068166,2009,1,202643,245140,0.25,-1.04,6.78,-0.03,-0.04,0.00,30.25
3108178,2022,1,202199,244940,1.07,-0.45,10.41,-0.08,0.05,-0.02,30.25
3148176,2007,1,201894,245606,0.09,-1.02,8.20,-0.04,0.00,-0.09,30.25
3188203,2023,1,201780,245397,0.22,-1.11,11.23,-0.05,-0.00,-0.16,30.25
3228199,1959,1,201145,245004,0.08,-0.28,11.72,-0.04,0.02,-0.08,30.25
3268179,1931,1,200560,244400,-0.23,-1.73,11.01,-0.06,0.03,-0.09,30.25
3308196,1974,1,200080,244269,0.45,-0.56,13.58,-0.06,-0.05,-0.15,30.25
3348199,1879,1,200202,244309,-0.03,-1.05,12.17,-0.07,-0.04,-0.01,30.25
3388212,1904,1,200117,244126,0.35,-0.85,12.60,-0.09,-0.06,-0.08,30.25
3428199,1872,1,199642,243665,-0.20,-1.07,13.00,-0.11,-0.04,-0.10,30.25
3468212,1863,1,199571,243274,0.49,-0.74,11.67,-0.08,-0.11,-0.08,30.25
3508199,1835,1,199320,242950,0.38,-0.53,12.33,-0.11,-0.09,-0.05,30.25
3548199,1805,1,199000,242555,0.02,-1.21,9.46,-0.12,-0.11,-0.17,30.25
3588199,1818,1,198917,242293,0.39,-0.89,10.40,-0.12,-0.11,-0.03,30.25
3628199,1814,1,198806,241905,0.70,-1.35,9.02,-0.12,-0.10,-0.01,30.25
3668199,1806,1,198725,241758,0.97,-0.51,7.18,-0.10,-0.16,-0.09,30.25
3708196,1798,1,198442,241783,-0.24,-2.30,9.31,-0.10,-0.01,-0.11,30.25
3748214,1791,1,198363,241851,-0.38,-1.67,10.06,-0.03,-0.05,-0.27,30.25
3788212,1810,1,198433,241814,0.14,-0.59,9.36,0.01,-0.08,-0.10,30.25
3828179,1779,1,198720,242188,-0.15,-1.77,9.62,-0.03,-0.01,-0.00,30.25
3868212,1826,1,198969,242500,0.07,-1.30,9.64,-0.01,-0.03,-0.00,30.25
