timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
1919496,1301,1,198436,248365,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1949971,563,1,197715,247365,0.53,-0.83,7.75,-0.04,-0.06,-0.01,26.17
1990209,48,1,197998,248585,0.76,-0.78,10.66,-0.06,-0.01,-0.01,26.17
2030199,0,1,198475,249360,-0.05,-0.97,9.41,0.00,-0.03,-0.12,26.17
2070203,0,1,198630,249220,1.00,0.50,9.86,-0.01,-0.06,-0.20,26.17
2110179,0,1,198923,249543,-0.03,-1.61,10.40,-0.05,0.02,-0.01,26.17
2150203,0,1,197993,246970,1.59,-0.28,8.30,0.00,-0.16,-0.01,26.17
2190179,170,1,197264,247021,0.73,-1.15,10.31,-0.09,0.03,0.44,26.17
2230173,373,1,197280,246205,0.72,-1.44,7.58,-0.03,0.00,0.00,26.17
2270172,607,1,197037,247305,0.28,-0.63,8.55,0.02,-0.00,0.08,26.17
2310173,807,1,197427,246133,0.63,-1.22,8.05,-0.09,0.08,-0.00,26.17
2350179,988,1,196860,246631,1.42,-0.19,10.92,0.06,-0.05,0.00,26.17
2390173,1205,1,197370,245878,-0.08,-3.21,8.79,-0.03,0.11,-0.06,26.17
2430242,1381,1,196950,247780,0.68,0.29,11.14,0.15,-0.18,0.00,26.17
2470152,1609,1,198135,247703,-0.57,-1.77,10.11,-0.05,0.19,-0.00,26.17
2510203,1759,1,196708,246568,0.58,0.34,7.37,0.16,-0.18,0.03,26.17
2550152,1904,1,197692,247604,0.82,-1.52,11.35,-0.07,0.13,0.00,26.17
2588173,2000,1,197599,248933,0.62,1.47,7.74,0.10,-0.05,0.01,26.17
2628150,2107,1,198957,250097,0.28,-2.31,11.82,-0.06,0.09,-0.21,26.17
2668182,2175,1,198822,251137,0.48,0.75,9.04,0.10,-0.11,0.01,26.17
2708151,2235,1,199484,250471,0.76,-0.74,12.11,-0.07,0.04,-0.00,26.17
2748183,2178,1,198493,251026,1.24,0.04,10.94,0.11,-0.17,0.03,26.17
2788151,2245,1,199109,250333,0.38,-2.19,11.61,-0.09,0.11,0.01,26.17
2828173,2215,1,197740,249753,0.76,0.95,9.83,0.11,-0.27,0.06,26.17
2868151,2250,1,197956,249519,0.93,-0.36,11.69,-0.08,0.00,0.03,26.17
2908173,2215,1,197287,249141,1.33,1.30,7.28,0.03,-0.22,0.07,26.17
2948151,2209,1,197680,248853,1.03,-1.17,9.92,-0.15,0.03,0.05,26.17
2988860,2150,1,196752,247917,1.40,1.10,6.86,-0.00,-0.23,0.03,26.03
3029173,2087,1,197870,248592,0.87,-0.70,10.77,-0.12,0.06,0.02,26.03
3069172,2112,1,196810,247393,0.91,0.12,5.43,-0.00,-0.10,0.01,26.03
3109173,2115,1,197946,248804,0.96,-1.12,10.57,-0.13,0.04,0.00,26.03
3149172,2151,1,197759,249024,1.28,-0.01,7.39,-0.01,-0.05,-0.07,26.03
3189203,2090,1,198102,248369,0.92,-0.89,10.21,-0.04,-0.03,-0.18,26.03
3229252,2064,1,197271,247846,0.28,-0.57,8.71,0.02,-0.01,0.02,26.03
3269173,2021,1,197146,247686,1.15,-0.53,9.26,0.01,-0.04,0.02,26.03
3309173,2007,1,197842,249221,0.53,-0.93,9.57,-0.02,0.10,0.01,26.03
3349173,1973,1,198164,248864,0.83,-0.34,9.12,0.02,-0.02,0.01,26.03
3389172,1998,1,198217,249222,0.20,-0.70,10.46,-0.02,0.07,0.02,26.03
3429214,1947,1,197862,248698,0.41,-0.70,9.17,0.03,-0.03,0.02,26.03
3469172,1895,1,197585,248364,0.57,-0.66,10.26,-0.01,0.02,0.02,26.03
3509173,1862,1,197607,249013,0.18,-0.60,10.88,-0.02,-0.01,0.02,26.03
3549180,1840,1,197558,248664,0.66,-0.67,10.51,0.00,-0.02,0.02,26.03
3589173,1792,1,197594,249095,0.29,-0.63,11.05,-0.01,-0.02,0.02,26.03
3629180,1779,1,197623,248326,0.56,-0.54,9.89,-0.01,-0.02,0.02,26.03
3669183,1761,1,197788,249368,0.39,-0.43,10.70,-0.03,0.01,0.01,26.03
3709172,1744,1,197928,248596,0.76,-0.54,10.35,-0.04,-0.04,0.01,26.03
3749183,1732,1,197715,248782,0.38,-0.58,10.63,-0.01,-0.04,0.01,26.03
3787182,1719,1,197753,247830,0.50,-0.62,8.97,-0.02,-0.05,0.01,26.03
3827182,1734,1,197160,247328,0.59,-0.56,9.91,0.01,-0.08,0.02,26.03
3867173,1703,1,197561,247652,0.33,-1.16,9.90,-0.02,0.00,0.01,26.03
3907173,1715,1,197232,247519,0.68,-0.11,8.93,0.03,-0.10,0.02,26.03
3947173,1719,1,197392,247528,0.54,-0.72,9.19,-0.03,-0.00,0.01,26.03
3987182,1724,1,197151,247904,0.68,-0.59,9.03,0.01,-0.08,0.02,26.03
4027866,1706,1,197515,247685,0.71,-1.21,10.35,-0.03,-0.00,0.01,26.09
4068183,1685,1,197253,247943,0.17,-0.82,9.81,0.01,-0.03,0.01,26.09
4108171,1748,1,197300,247318,0.65,-1.22,9.75,-0.03,-0.02,0.01,26.09
4148183,1712,1,197002,247614,0.47,-0.42,9.79,0.02,-0.04,0.01,26.09
4188172,1713,1,196978,245759,0.96,-1.19,9.07,-0.00,-0.01,0.01,26.09
4228183,1723,1,196024,245694,0.53,-0.60,8.88,0.03,-0.03,0.02,26.09
4268187,1655,1,196498,245984,0.85,-0.87,9.53,-0.00,-0.03,0.01,26.09
4308183,1691,1,196411,246573,0.59,-0.30,9.08,0.01,-0.02,0.01,26.09
4348171,1719,1,196896,246695,0.80,-0.82,9.98,-0.04,-0.00,0.00,26.09
4388183,1714,1,196676,246591,0.78,-0.56,10.84,-0.00,-0.06,0.01,26.09
4428180,1744,1,196949,247637,0.52,-1.32,11.02,-0.00,-0.00,0.01,26.09
4468183,1744,1,197099,247643,0.57,-0.45,10.34,0.01,-0.07,0.01,26.09
4508172,1793,1,197642,248947,0.38,-0.64,11.77,-0.02,0.02,0.01,26.09
4548173,1765,1,198010,249600,0.74,-0.58,10.91,-0.01,-0.04,0.01,26.09
4588183,1738,1,198194,249898,0.53,-1.11,10.81,-0.01,-0.03,0.01,26.09
4628183,1748,1,198190,249694,0.27,-0.71,10.68,-0.03,-0.02,0.01,26.09
4668183,1735,1,197803,248965,0.62,-0.63,10.50,-0.03,-0.07,0.01,26.09
4708183,1739,1,197834,249467,0.34,-0.76,10.61,-0.05,-0.03,0.01,26.09
4748183,1735,1,197569,248224,1.28,-0.50,9.27,-0.02,-0.08,0.01,26.09
4788183,1744,1,197668,249248,0.52,-1.12,9.71,-0.05,-0.02,0.01,26.09
4828180,1727,1,197593,248194,1.24,-0.60,8.79,-0.01,-0.10,0.00,26.09
4868188,1728,1,197296,247643,0.65,-0.82,9.61,-0.03,-0.01,0.01,26.09
4908180,1694,1,196745,246310,1.01,-0.99,7.88,-0.02,-0.04,0.01,26.09
4948183,1711,1,196559,246582,1.09,-1.00,9.79,-0.03,-0.04,0.00,26.09
4986182,1713,1,196393,246107,0.83,-0.98,9.43,0.00,-0.02,0.00,26.09
5026173,1721,1,196264,246112,0.41,-0.79,10.00,0.02,-0.04,0.00,26.09
5066860,1695,1,196293,246697,0.51,-0.91,9.70,0.01,0.01,0.01,26.03
5107151,1733,1,196829,247237,0.31,-1.07,10.04,-0.03,0.02,0.01,26.03
5147172,1773,1,196626,246908,0.90,-0.99,10.26,-0.01,-0.00,0.00,26.03
5187183,1753,1,197202,247670,0.14,-1.10,11.82,-0.06,0.03,-0.00,26.03
5227180,1759,1,197127,248025,0.51,-1.00,10.47,0.02,-0.03,0.01,26.03
5267173,1748,1,197729,248366,0.07,-1.47,11.18,-0.06,0.00,0.00,26.03
5307172,1731,1,197130,247515,0.96,-0.44,10.99,-0.00,-0.09,0.00,26.03
5347182,1776,1,197380,248232,0.27,-1.12,10.76,-0.08,-0.01,-0.00,26.03
5387203,1766,1,197054,247293,1.11,-0.16,10.05,-0.00,-0.10,-0.02,26.03
5427203,1776,1,197316,248276,0.42,-1.91,9.95,-0.08,-0.00,-0.01,26.03
5467203,1768,1,197451,247247,0.62,-0.54,8.86,-0.01,-0.05,-0.23,26.03
5507204,1723,1,197000,246369,0.93,-0.73,10.38,-0.05,-0.08,-0.05,26.03
5547203,1718,1,196630,246068,0.70,-0.66,9.42,-0.04,-0.02,-0.04,26.03
5587204,1683,1,196702,246367,0.73,-1.30,9.57,-0.03,-0.04,-0.08,26.03
5627199,1729,1,196609,245862,0.88,-0.66,9.44,-0.01,-0.02,-0.07,26.03
5667203,1738,1,196354,244653,0.46,-1.01,9.31,-0.04,-0.02,-0.01,26.03
5707200,1697,1,196187,245530,0.86,-1.24,10.58,-0.04,0.02,-0.01,26.03
5747241,1734,1,196431,245659,0.76,-0.79,9.57,-0.03,-0.02,-0.02,26.03
5787200,1766,1,196666,246547,0.35,-1.51,9.71,-0.04,0.05,-0.01,26.03
5827183,1781,1,196941,246668,0.61,-0.76,9.76,-0.02,-0.01,-0.09,26.03
5867200,1771,1,197046,247102,0.54,-1.23,10.68,-0.03,0.03,-0.01,26.03
5907182,1802,1,197017,247699,0.52,-1.22,9.44,-0.03,0.00,-0.01,26.03
5947180,1781,1,197255,248020,0.57,-1.13,10.33,-0.04,-0.01,-0.03,26.03
5987204,1803,1,197423,248359,0.54,-0.91,10.43,-0.02,-0.01,-0.01,26.03
6027204,1785,1,197392,247980,0.65,-0.96,10.55,-0.02,-0.02,-0.01,26.03
6067890,1779,1,197001,247691,0.83,-1.00,10.18,-0.02,-0.04,-0.01,25.87
6106203,1745,1,197257,247943,0.36,-1.32,10.23,-0.05,0.01,-0.01,25.87
6146182,1721,1,197308,247893,0.63,-0.90,10.81,-0.03,-0.01,-0.01,25.87
6186202,1722,1,197720,248961,0.40,-0.97,11.19,-0.04,-0.01,-0.01,25.87
6226202,1739,1,197864,249240,0.65,-1.15,10.59,-0.02,-0.05,-0.03,25.87
6266203,1744,1,197743,249216,0.64,-1.25,10.82,-0.02,-0.03,-0.01,25.87
6306203,1725,1,197974,249208,0.43,-1.19,10.62,-0.05,-0.02,-0.01,25.87
6346202,1760,1,197965,249283,0.28,-1.41,10.81,-0.04,0.01,-0.01,25.87
6386182,1766,1,198001,249287,0.65,-1.18,9.85,-0.05,-0.06,-0.01,25.87
6426203,1791,1,197898,248999,0.81,-1.02,10.07,-0.03,-0.04,-0.01,25.87
6466203,1808,1,197924,249117,0.37,-1.30,9.63,-0.02,-0.01,-0.01,25.87
6506244,1803,1,197686,248600,0.79,-0.96,9.68,-0.01,-0.10,-0.01,25.87
6546203,1773,1,197503,248250,0.60,-1.01,10.21,-0.03,-0.03,-0.01,25.87
6586200,1776,1,197053,247546,0.91,-1.26,9.27,-0.02,-0.07,-0.01,25.87
6626203,1751,1,196808,247176,0.75,-0.96,9.50,-0.04,-0.04,-0.01,25.87
6666200,1780,1,196648,247435,0.61,-1.15,10.22,-0.01,-0.03,-0.01,25.87
6706234,1791,1,197105,248353,0.34,-1.60,10.06,-0.02,0.00,-0.01,25.87
6746180,1787,1,197172,248452,0.77,-0.85,9.81,-0.00,-0.02,-0.01,25.87
6786203,1725,1,197373,248098,0.71,-1.25,10.20,-0.04,-0.01,-0.01,25.87
6826203,1762,1,196692,247579,0.77,-0.98,9.80,-0.01,-0.02,-0.01,25.87
6866203,1768,1,197364,248729,0.34,-1.70,10.77,-0.03,0.02,-0.01,25.87
6906183,1760,1,197171,248128,0.43,-0.98,9.70,0.02,-0.01,-0.01,25.87
6946183,1743,1,197542,249266,0.40,-1.01,11.28,-0.02,0.01,-0.01,25.87
6986179,1765,1,197522,248417,0.84,-0.60,10.62,-0.00,-0.03,-0.01,25.87
7026206,1755,1,197504,249623,0.52,-1.23,10.88,-0.02,-0.03,-0.01,25.87
7066203,1776,1,197829,249129,0.65,-0.99,9.80,-0.01,-0.02,-0.01,25.87
7106890,1753,1,197763,249748,0.41,-0.86,10.64,-0.02,-0.04,-0.01,25.73
7145202,1737,1,197893,249556,0.54,-0.88,9.99,-0.04,0.01,-0.01,25.73
