timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
1919500,1605,1,184282,235198,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1949968,1726,1,189527,235626,1.99,-0.13,9.75,0.18,0.33,0.32,33.73
1990162,1728,1,189431,234917,1.94,0.01,9.96,0.22,0.16,0.33,33.73
2030128,1742,1,189448,235071,2.07,0.23,9.69,0.18,0.17,0.33,33.73
2070128,1776,1,190192,235805,1.97,0.40,9.78,0.08,0.13,0.30,33.73
2110126,1778,1,190474,236319,1.95,0.46,9.78,0.03,0.15,0.32,33.73
2150127,1818,1,191628,237208,1.78,0.60,9.90,0.01,0.24,0.33,33.73
2190125,1855,1,192303,238303,1.64,0.74,10.04,0.05,0.20,0.30,33.73
2230130,1743,1,189259,238579,1.60,0.62,9.90,0.05,0.20,0.28,33.73
2270129,1744,1,189197,239198,1.47,0.45,10.03,0.03,0.22,0.21,33.73
2310128,1739,1,190036,239528,1.47,0.33,10.07,0.00,0.08,0.09,33.73
2350126,1775,1,190297,237026,1.64,0.19,10.04,-0.08,-0.10,-0.01,33.73
2390179,1629,1,189706,235046,1.83,0.18,9.91,-0.00,-0.15,-0.03,33.73
2430178,1777,1,189150,234384,1.75,0.39,9.63,-0.04,-0.09,0.05,33.73
2470169,1715,1,188879,234631,1.73,0.59,9.84,-0.05,-0.11,0.07,33.73
2510166,1701,1,189826,235506,1.69,0.80,9.79,-0.09,-0.03,0.06,33.73
2550170,1654,1,190019,236856,1.44,0.48,10.06,-0.18,0.02,0.02,33.73
2590148,1632,1,190373,237815,1.12,0.15,10.33,-0.15,0.06,-0.05,33.73
2630170,1600,1,189534,238068,1.31,0.07,10.08,-0.03,0.04,-0.08,33.73
2670187,1506,1,189596,237508,1.25,0.02,10.00,-0.01,0.05,0.01,33.73
2710151,1509,1,189492,236511,1.48,-0.01,9.78,0.01,-0.12,0.10,33.73
2750170,1453,1,186417,236244,1.76,-0.19,9.58,-0.12,-0.25,0.08,33.73
2790184,1472,1,188997,236851,1.92,-0.59,9.55,-0.29,-0.32,0.02,33.73
2830184,1496,1,190201,237415,2.24,-1.13,9.63,-0.35,-0.33,-0.04,33.73
2870204,1481,1,191442,238538,2.35,-1.26,9.43,-0.21,-0.18,-0.14,33.73
2909200,1420,1,190736,239289,2.23,-1.27,9.25,-0.18,0.10,-0.23,33.73
2949183,1391,1,190399,239432,2.02,-1.34,9.38,-0.19,0.24,-0.36,33.73
2989868,1370,1,190112,235631,1.77,-1.40,9.66,-0.11,0.30,-0.41,33.91
3030183,1353,1,188373,233337,1.72,-1.43,10.01,-0.11,0.26,-0.40,33.91
3070184,1437,1,188503,232570,1.87,-1.30,9.93,-0.16,0.14,-0.37,33.91
3110183,1439,1,188186,232288,2.14,-1.33,9.80,-0.31,0.06,-0.36,33.91
3150183,1487,1,189304,232805,2.17,-1.21,9.76,-0.41,0.11,-0.39,33.91
3190183,1472,1,188466,234043,1.91,-0.91,9.50,-0.44,0.07,-0.38,33.91
3230181,1505,1,189584,234521,2.04,-0.91,9.67,-0.37,0.19,-0.26,33.91
3270182,1565,1,190632,234023,1.70,-0.92,10.21,-0.25,0.25,-0.02,33.91
3310184,1589,1,189633,233330,1.79,-0.82,10.03,-0.19,0.04,0.14,33.91
3350170,1522,1,188702,233502,2.00,-0.91,9.92,-0.32,-0.24,0.15,33.91
3390182,1534,1,190022,233972,2.10,-1.68,10.64,-0.51,-0.44,0.16,33.91
3430183,1563,1,190570,234803,2.31,-2.43,10.91,-0.35,-0.62,0.11,33.91
3470183,1519,1,189768,235352,2.39,-2.77,10.49,-0.07,-0.66,0.01,33.91
3510183,1567,1,192137,235205,2.66,-2.43,9.77,0.31,-0.31,0.00,33.91
3550168,1712,1,192303,234604,2.64,-2.19,9.28,0.41,0.10,-0.06,33.91
3590169,1790,1,192037,233655,2.25,-1.87,9.39,0.37,0.11,-0.15,33.91
3630169,1713,1,190287,231119,2.20,-1.14,8.82,0.34,-0.13,-0.24,33.91
3670180,1633,1,189645,230194,2.34,-0.66,8.71,0.32,-0.21,-0.31,33.91
3710179,1773,1,189949,229939,1.95,-0.56,8.84,0.22,0.23,-0.26,33.91
3750169,1685,1,189042,230061,1.30,-0.82,10.06,0.25,0.61,-0.20,33.91
3790169,1761,1,190157,231512,1.06,-0.82,10.05,0.22,0.42,-0.21,33.91
3830169,1806,1,191523,234195,1.16,-0.84,9.83,0.01,0.14,-0.30,33.91
3870170,1767,1,192574,236467,1.25,-1.05,9.87,-0.14,-0.06,-0.36,33.91
3910203,1770,1,193300,238011,1.44,-1.05,9.69,-0.20,-0.12,-0.38,33.91
3950203,1759,1,193683,238621,1.64,-1.16,9.91,-0.27,-0.15,-0.39,33.91
3990891,1710,1,194296,239608,2.27,-1.19,9.88,-0.28,-0.26,-0.56,33.79
4029204,1774,1,194862,240400,2.30,-1.07,9.45,-0.41,-0.21,-0.73,33.79
4069204,1591,1,195191,240652,2.48,-1.30,9.90,-0.42,-0.06,-0.81,33.79
4109240,1600,1,194900,239698,2.34,-0.84,9.73,-0.22,0.13,-0.82,33.79
4149182,1599,1,194174,238442,2.06,-0.46,9.80,-0.17,0.38,-0.79,33.79
4189180,1592,1,193467,237825,1.70,-0.52,10.31,-0.20,0.52,-0.84,33.79
4229182,1570,1,192794,235535,1.12,-0.93,10.78,-0.22,0.29,-1.05,33.79
4269183,1493,1,192051,234513,1.40,-1.15,10.57,-0.24,-0.20,-1.31,33.79
4309246,1475,1,192592,234693,1.83,-1.15,9.75,-0.27,-0.11,-1.34,33.79
4349202,1535,1,192859,235547,1.64,-1.24,9.53,-0.21,0.27,-1.33,33.79
4389181,1503,1,193444,235889,1.02,-1.02,9.42,-0.18,0.43,-1.26,33.79
4429181,1493,1,193471,236326,0.75,-0.91,9.81,-0.04,0.37,-1.17,33.79
4469181,1535,1,193890,237751,0.84,-0.59,9.35,-0.07,0.35,-1.13,33.79
4509179,1515,1,194581,238805,0.76,-0.71,9.46,-0.24,0.29,-1.10,33.79
4549181,1457,1,194763,239268,0.48,-1.02,9.73,-0.32,0.21,-1.03,33.79
4589178,1517,1,194962,239648,0.42,-1.04,9.67,-0.22,0.11,-0.90,33.79
4629180,1535,1,195095,240341,0.71,-1.16,9.62,-0.27,0.01,-0.88,33.79
4669178,1575,1,193385,240890,1.15,-1.70,9.56,-0.37,-0.08,-0.98,33.79
4709201,1558,1,195892,242371,1.29,-1.93,9.88,-0.44,-0.18,-1.09,33.79
4749201,1648,1,196395,243467,1.66,-1.81,9.62,-0.46,-0.26,-1.11,33.79
4789203,1650,1,196108,242734,2.05,-1.69,9.65,-0.39,-0.07,-1.01,33.79
4829203,1573,1,195000,239222,2.00,-1.46,9.71,-0.37,0.21,-0.90,33.79
4869182,1630,1,192169,235834,1.78,-1.42,10.08,-0.41,0.25,-0.84,33.79
4909180,1687,1,189717,234913,1.80,-1.34,10.32,-0.37,0.15,-0.83,33.79
4949181,1775,1,191430,234665,1.85,-1.19,10.30,-0.29,0.22,-0.78,33.79
4989183,1808,1,192500,236134,1.99,-1.27,10.03,-0.33,0.24,-0.78,33.79
5029868,1861,1,193598,238053,1.80,-1.76,10.61,-0.36,0.15,-0.77,33.77
5070184,1727,1,192467,239200,1.82,-1.79,10.31,-0.18,-0.01,-0.69,33.77
5110203,1767,1,193759,239749,2.10,-1.59,9.75,-0.04,-0.02,-0.55,33.77
5150201,1803,1,194139,240203,2.08,-1.50,9.61,-0.07,-0.06,-0.46,33.77
5190203,1821,1,194413,240337,2.07,-1.64,9.80,-0.08,-0.09,-0.44,33.77
5230201,1883,1,194510,240260,1.89,-1.60,9.64,-0.01,-0.02,-0.35,33.77
5270203,1919,1,194468,239937,1.91,-1.50,9.49,0.09,-0.02,-0.29,33.77
5310180,1843,1,194164,239432,2.05,-1.26,9.33,0.13,0.02,-0.19,33.77
5350170,1826,1,194083,239685,2.14,-1.23,9.33,0.09,0.08,-0.12,33.77
5390170,1866,1,194782,239879,2.16,-1.40,9.36,0.00,0.12,-0.09,33.77
5430169,1907,1,194494,237512,1.98,-2.01,9.91,-0.11,0.14,-0.06,33.77
5470179,1861,1,191342,236711,1.95,-2.32,9.85,-0.08,-0.14,-0.10,33.77
5510203,1831,1,192883,237608,2.17,-2.37,9.62,-0.12,-0.18,-0.16,33.77
5550215,1796,1,194098,239477,2.40,-2.13,9.52,-0.09,-0.12,-0.26,33.77
5590203,1867,1,195116,238617,2.37,-1.96,9.56,-0.02,0.07,-0.29,33.77
5630183,1808,1,193575,235241,1.92,-1.45,9.79,0.16,0.28,-0.23,33.77
5670169,1751,1,191429,233291,1.38,-0.92,9.71,0.20,0.45,-0.13,33.77
5710169,1813,1,191774,232192,0.71,-0.54,9.83,0.15,0.34,-0.02,33.77
5750181,1753,1,191559,232253,0.81,-0.67,9.78,0.06,0.08,-0.08,33.77
5790169,1674,1,191293,233946,0.71,-0.84,9.74,-0.05,-0.04,-0.10,33.77
5830203,1725,1,191909,235436,0.87,-0.97,9.87,-0.06,-0.05,-0.05,33.77
5870203,1603,1,191442,235536,0.87,-0.86,9.88,-0.01,0.06,0.08,33.77
5910170,1697,1,192162,234576,0.63,-0.86,10.07,0.02,0.14,0.22,33.77
5950185,1600,1,190465,233584,0.51,-0.64,9.90,0.04,0.00,0.33,33.77
5990149,1662,1,191205,232509,0.64,-0.44,9.53,-0.00,-0.02,0.36,33.77
6030866,1731,1,191145,229882,0.73,-0.63,9.85,-0.10,-0.01,0.33,33.95
6069179,1766,1,190439,226949,0.95,-0.73,9.74,-0.12,-0.04,0.31,33.95
6109178,1791,1,189757,225602,1.07,-0.96,10.25,-0.18,0.02,0.32,33.95
6149183,1716,1,189397,226177,1.09,-0.91,10.23,-0.08,-0.06,0.29,33.95
6189178,1680,1,190294,228643,1.37,-0.95,10.10,-0.09,-0.10,0.24,33.95
6229180,1707,1,191537,231016,1.41,-1.35,10.49,-0.16,-0.18,0.16,33.95
6269177,1751,1,192548,232496,1.71,-1.57,10.39,-0.11,-0.42,0.04,33.95
6309178,1755,1,193091,233395,2.10,-1.45,9.86,0.01,-0.44,-0.02,33.95
6349177,1658,1,193314,232797,2.19,-1.24,9.58,0.09,-0.33,0.01,33.95
6389169,1728,1,192826,232053,2.21,-0.97,9.22,0.19,-0.13,0.03,33.95
6429169,1767,1,192182,230692,1.95,-0.85,9.22,0.17,0.13,0.03,33.95
6469145,1705,1,191588,230095,1.82,-0.91,9.78,0.23,0.27,-0.00,33.95
6509168,1770,1,191619,230502,1.81,-0.74,9.71,0.17,0.24,-0.05,33.95
6549168,1778,1,191937,231594,1.74,-0.90,10.16,0.12,0.35,-0.03,33.95
6589169,1731,1,192206,232613,1.54,-0.67,9.96,0.03,0.29,-0.07,33.95
6629169,1735,1,192438,232070,1.57,-0.58,9.64,-0.05,0.35,-0.02,33.95
6669179,1653,1,192033,231838,1.21,-0.75,9.89,-0.17,0.59,0.04,33.95
6709169,1677,1,192471,233922,0.63,-0.72,10.56,-0.09,-0.08,-0.10,33.95
6749195,1712,1,193427,235689,1.11,-0.49,9.43,-0.01,-0.43,-0.01,33.95
6789199,1683,1,194098,235910,1.43,-0.29,9.61,0.01,0.19,0.33,33.95
6829146,1759,1,193788,235048,0.58,-0.85,10.75,-0.08,0.48,0.58,33.95
6869170,1759,1,192739,234078,0.14,-1.00,10.69,-0.07,0.12,0.58,33.95
6909170,1751,1,192717,234801,0.41,-0.88,9.83,-0.23,-0.35,0.40,33.95
6949182,1726,1,193014,235748,0.61,-1.31,9.70,-0.42,-0.57,0.27,33.95
6989179,1767,1,193262,236788,0.65,-1.86,10.01,-0.32,-0.67,0.21,33.95
7029178,1776,1,194018,237369,0.97,-1.99,9.62,-0.19,-0.73,0.23,33.95
7069864,1725,1,193861,238044,1.48,-1.95,9.40,-0.16,-0.49,0.19,34.09
7110181,1726,1,194937,239019,1.64,-2.07,9.60,-0.20,-0.33,0.10,34.09
7150177,1793,1,194332,238449,1.60,-2.03,10.09,-0.09,-0.21,0.13,34.09
7190176,1829,1,194451,234449,1.73,-1.53,9.69,0.11,-0.04,0.29,34.09
7230167,1837,1,191669,228279,1.51,-1.13,9.89,0.15,0.23,0.49,34.09
7270146,1779,1,189898,224888,1.28,-1.16,10.12,0.09,0.20,0.57,34.09
7310146,1887,1,188841,222474,1.08,-1.36,10.21,0.16,0.17,0.63,34.09
7350145,1876,1,188116,221603,1.10,-1.45,10.08,0.32,0.17,0.73,34.09
7390146,1872,1,187923,222142,1.38,-1.46,9.66,0.22,0.03,0.77,34.09
7430146,1920,1,188653,224296,1.65,-1.60,9.44,0.09,-0.13,0.79,34.09
7470164,1865,1,189337,225700,1.56,-1.81,9.83,0.07,-0.08,0.87,34.09
7510169,1856,1,189755,226507,1.42,-1.83,9.77,0.13,0.00,0.95,34.09
7550146,1863,1,189749,226056,1.05,-1.70,9.89,0.16,-0.01,0.99,34.09
7588201,1844,1,189415,225560,1.13,-1.49,9.60,0.26,-0.03,1.08,34.09
7630168,1801,1,189536,226489,1.20,-1.27,9.62,0.18,-0.02,1.08,34.09
7668169,1855,1,189965,227821,1.02,-1.48,9.81,0.06,-0.01,1.08,34.09
7708168,1879,1,190615,229657,0.60,-1.96,10.30,0.02,0.04,1.10,34.09
7748145,1794,1,191450,231026,0.53,-2.10,10.25,0.03,-0.17,1.02,34.09
7788184,1817,1,191145,227823,0.56,-1.77,9.74,0.19,-0.28,1.06,34.09
7828169,1805,1,189595,223867,1.02,-1.26,9.07,0.17,-0.17,1.11,34.09
7868168,1776,1,188189,219783,0.73,-1.24,9.33,-0.05,0.04,1.14,34.09
7908168,1775,1,186604,217806,0.38,-1.75,10.50,-0.21,-0.02,1.16,34.09
7948177,1830,1,187115,222777,0.79,-2.01,10.90,-0.17,-0.23,0.95,34.09
7988177,1826,1,190030,229586,1.17,-1.77,9.67,-0.10,-0.45,0.74,34.09
8028177,1808,1,192935,233655,1.69,-1.64,9.20,-0.06,-0.44,0.73,34.09
8068177,1812,1,193887,234324,1.31,-1.66,9.65,0.01,-0.03,0.77,34.09
8108855,1739,1,193581,232827,0.77,-1.73,10.40,0.10,-0.10,0.72,33.99
8149168,1852,1,192674,231954,1.12,-1.39,9.81,0.19,-0.29,0.65,33.99
8189168,1799,1,192616,232764,1.60,-1.13,9.46,0.16,-0.17,0.64,33.99
8229169,1811,1,193139,233319,1.79,-1.26,9.72,0.22,0.06,0.62,33.99
8269146,1831,1,193233,233612,1.64,-0.97,9.91,0.36,0.25,0.66,33.99
8309146,1805,1,193307,234062,1.56,-0.48,9.58,0.33,0.29,0.60,33.99
8349146,1853,1,193699,234323,1.10,-0.43,9.97,0.22,0.35,0.60,33.99
8389146,1792,1,193112,230996,0.91,-0.62,10.38,0.13,0.15,0.57,33.99
8429147,1808,1,192146,228826,0.77,-0.80,10.23,0.01,-0.26,0.53,33.99
8469168,1853,1,191554,227647,0.95,-0.83,9.95,-0.05,-0.30,0.59,33.99
8509175,1874,1,191376,227419,1.36,-0.98,9.67,-0.12,-0.29,0.49,33.99
8549177,1847,1,191401,227829,1.29,-1.05,9.69,-0.15,-0.38,0.29,33.99
8589177,1872,1,191722,228933,1.39,-1.17,9.60,-0.12,-0.16,0.26,33.99
8629178,1851,1,192104,229808,1.63,-1.36,9.82,-0.08,-0.06,0.18,33.99
8669178,1807,1,192555,230971,1.58,-1.26,9.54,-0.05,-0.06,0.10,33.99
8709176,1819,1,193121,232231,1.74,-1.29,9.63,-0.09,-0.03,0.07,33.99
8749177,1831,1,193580,233055,1.60,-1.15,9.62,-0.12,0.00,0.09,33.99
