timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
1920495,1535,1,196358,242218,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1950966,1071,1,196484,242889,0.36,-0.89,11.03,-0.03,-0.00,0.09,29.71
1991185,631,1,196944,243676,-0.32,-1.08,11.20,-0.01,0.05,-0.02,29.71
2031196,529,1,196770,242688,0.46,-0.88,11.22,-0.01,-0.10,-0.04,29.71
2071200,476,1,196766,242247,-0.70,-1.49,11.45,-0.07,0.07,-0.04,29.71
2111196,535,1,196126,240135,0.44,-1.15,8.19,-0.04,-0.13,0.18,29.71
2151179,627,1,195460,238944,-0.41,-1.47,10.35,-0.12,0.07,0.32,29.71
2191180,582,1,194713,237723,0.08,-1.26,7.38,-0.07,-0.04,0.30,29.71
2231179,727,1,195110,239205,0.25,-0.87,10.13,-0.10,0.16,-0.05,29.71
2271177,1076,1,195349,241334,0.44,-0.11,8.19,-0.00,-0.06,-0.14,29.71
2311200,1533,1,196559,243029,0.74,-1.72,10.13,-0.03,-0.02,-0.38,29.71
2351199,1712,1,196622,243185,-0.32,-0.29,7.75,0.02,-0.04,-0.22,29.71
2391199,1862,1,196522,241786,-0.52,-1.18,9.12,-0.04,0.02,-0.10,29.71
2431197,1899,1,195637,240333,0.24,-0.60,8.10,-0.00,-0.10,0.00,29.71
2471180,1829,1,195571,240289,-0.09,-1.33,10.29,-0.06,0.07,-0.01,29.71
2511197,1781,1,195430,240857,-0.09,-1.18,8.36,0.01,0.03,0.02,29.71
2551170,1747,1,196168,242833,-0.21,-1.14,11.48,-0.04,0.15,-0.05,29.71
2591199,1968,1,196697,244321,-0.14,-0.99,9.12,-0.02,-0.02,-0.10,29.71
2629214,2192,1,197234,244251,0.25,-0.96,11.54,-0.03,-0.07,-0.10,29.71
2669197,2276,1,196907,243663,-0.32,-1.14,11.07,-0.03,-0.01,-0.04,29.71
2709214,2247,1,196992,243416,-0.13,-1.11,11.42,-0.05,0.00,-0.04,29.71
2749200,2237,1,197008,243404,-0.17,-1.23,11.91,-0.02,-0.03,-0.04,29.71
2789217,2256,1,197404,244155,-0.75,-1.81,11.49,-0.04,0.03,-0.03,29.71
2830200,2209,1,197414,244386,-0.34,-1.53,10.34,-0.03,-0.03,-0.03,29.71
2870217,2196,1,197546,245014,-0.09,-1.56,11.53,-0.04,-0.03,-0.03,29.71
2910212,2198,1,197581,244899,-0.48,-1.59,9.36,-0.05,-0.02,-0.05,29.71
2950215,2180,1,197505,244892,0.31,-1.06,10.63,-0.04,-0.08,-0.05,29.71
2990883,2212,1,197559,245109,0.07,-1.15,10.38,-0.04,-0.04,-0.04,30.11
3029204,2311,1,197536,245266,0.07,-1.28,9.64,-0.03,-0.05,-0.10,30.11
3069196,2341,1,197479,245037,-0.15,-0.89,8.82,-0.03,-0.08,-0.11,30.11
3109215,2301,1,197430,245202,0.09,-1.63,9.85,-0.02,-0.07,-0.04,30.11
3149196,2318,1,197506,244863,-0.04,-0.65,9.00,0.00,-0.07,-0.07,30.11
3189199,2222,1,197293,244793,-0.08,-1.26,9.30,0.01,-0.06,-0.04,30.11
3229209,2143,1,197468,245097,-0.11,-1.35,10.21,0.01,-0.00,-0.04,30.11
3269199,2177,1,197200,243856,0.41,-0.94,9.17,0.03,-0.09,-0.04,30.11
3309177,2240,1,197078,244359,-0.22,-1.38,10.64,0.01,0.03,-0.03,30.11
3349179,2256,1,197119,244487,0.62,-0.72,9.70,0.03,-0.11,-0.05,30.11
3389177,2167,1,197298,244755,0.69,-0.26,11.43,0.03,-0.07,-0.04,30.11
3429187,2213,1,197329,244530,0.98,-0.51,9.75,0.02,-0.14,-0.04,30.11
3469177,2185,1,197762,245128,0.57,-0.77,11.83,0.02,-0.05,0.00,30.11
3509171,2190,1,197937,245206,0.88,-0.98,9.88,0.04,-0.15,0.03,30.11
3549166,2093,1,198218,245931,0.23,-0.73,11.08,0.03,-0.05,0.11,30.11
3589171,2143,1,198476,246189,0.60,-1.04,8.95,0.03,-0.14,-0.02,30.11
3629177,2126,1,198841,246988,0.51,-0.85,10.74,0.04,-0.12,-0.02,30.11
3669179,2175,1,199067,247307,0.88,-0.33,10.04,-0.00,-0.12,-0.03,30.11
3709197,2337,1,199293,247794,0.49,-0.55,9.82,0.02,-0.04,-0.03,30.11
3749180,1974,1,199279,247527,1.48,-0.30,9.60,-0.02,-0.10,-0.04,30.11
3789196,1926,1,199221,247303,1.14,-0.23,7.99,-0.03,-0.11,0.29,30.11
3829179,1572,1,199355,247525,1.32,-0.34,8.81,-0.09,0.02,0.26,30.11
3869167,1648,1,199370,247702,1.57,-0.44,7.78,-0.04,-0.04,0.15,30.11
3909180,1698,1,199438,247812,0.80,-0.62,9.82,-0.06,0.11,-0.01,30.11
3949177,1819,1,199087,246810,1.54,0.12,7.99,-0.01,-0.12,-0.02,30.11
3989179,1884,1,199097,247087,0.37,-1.08,10.46,-0.06,0.10,-0.01,30.11
4029866,1876,1,198808,246055,1.21,-0.53,8.87,-0.00,-0.08,-0.02,30.05
4068200,1887,1,198744,246316,0.74,-0.46,11.31,-0.03,0.02,0.04,30.05
4108167,1889,1,198681,245988,1.14,-0.13,8.81,-0.06,-0.01,-0.02,30.05
4148200,1978,1,198719,246375,1.31,-0.32,11.53,-0.06,0.04,0.08,30.05
4188171,1995,1,198878,246502,1.31,-0.45,9.11,-0.06,0.03,-0.01,30.05
4228180,2112,1,198956,246825,0.98,-0.19,10.50,-0.08,0.08,-0.02,30.05
4268187,2118,1,198788,246558,1.11,-1.12,8.97,-0.08,0.01,-0.02,30.05
4308179,2189,1,198840,246739,0.65,-0.90,10.08,-0.07,0.03,-0.02,30.05
4348177,2178,1,198705,246647,0.83,-0.71,9.79,-0.05,0.01,-0.02,30.05
4388180,2189,1,198758,246758,0.04,-1.13,10.85,-0.06,0.10,-0.02,30.05
4428177,2187,1,198689,246540,0.68,-1.09,10.27,-0.02,0.00,-0.08,30.05
4468180,2192,1,198606,246501,0.34,-0.75,10.51,-0.04,0.02,-0.02,30.05
4508177,2138,1,198383,246166,0.36,-1.22,9.60,-0.07,0.03,-0.13,30.05
4548180,2075,1,198063,245273,0.42,-1.36,10.54,-0.05,0.03,-0.04,30.05
4588180,2112,1,197854,244917,0.60,-0.56,9.67,-0.08,0.04,-0.24,30.05
