timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
1918482,1933,1,182315,218288,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1948948,1936,1,182213,218415,0.37,-0.76,9.69,-0.03,-0.01,-0.01,30.73
1989195,1954,1,182205,218443,0.35,-0.79,9.97,-0.03,-0.01,-0.01,30.73
2029182,1961,1,182238,218561,0.35,-0.77,9.96,-0.03,-0.02,-0.00,30.73
2069183,1981,1,182478,219707,0.38,-0.76,9.92,-0.03,-0.01,-0.01,30.73
2109182,1993,1,182883,220564,0.35,-0.77,9.95,-0.03,-0.01,-0.01,30.73
2149183,1991,1,183081,220934,0.37,-0.77,9.97,-0.03,-0.01,-0.00,30.73
2189182,1993,1,183179,221196,0.36,-0.77,9.96,-0.03,-0.01,-0.01,30.73
2229190,1994,1,183259,221416,0.36,-0.77,9.93,-0.03,-0.01,-0.01,30.73
2269182,2002,1,183242,221579,0.38,-0.77,9.96,-0.03,-0.01,-0.00,30.73
2309183,1984,1,183435,222018,0.37,-0.79,9.95,-0.03,-0.01,-0.01,30.73
2349182,2011,1,183521,222330,0.37,-0.77,9.96,-0.03,-0.01,-0.00,30.73
2389183,2001,1,183611,222725,0.39,-0.77,9.94,-0.03,-0.01,-0.01,30.73
2429182,1991,1,183867,223346,0.37,-0.79,9.94,-0.03,-0.01,-0.01,30.73
2469183,1981,1,183811,223109,0.37,-0.78,9.94,-0.03,-0.01,-0.01,30.73
2509182,1993,1,183356,220016,0.39,-0.78,9.94,-0.03,-0.01,-0.01,30.73
2549183,1997,1,182303,218601,0.36,-0.79,9.94,-0.03,-0.01,-0.01,30.73
2589182,1994,1,182280,218518,0.38,-0.78,9.92,-0.03,-0.01,-0.01,30.73
2629200,1987,1,182256,218486,0.36,-0.78,9.95,-0.03,-0.01,-0.01,30.73
2669182,1994,1,182179,218545,0.37,-0.76,9.93,-0.03,-0.01,-0.00,30.73
2709183,1990,1,182381,219396,0.37,-0.77,9.94,-0.03,-0.01,-0.00,30.73
2749182,1986,1,182691,220052,0.36,-0.78,9.97,-0.03,-0.01,-0.01,30.73
2789183,1989,1,182905,220491,0.35,-0.77,9.96,-0.03,-0.01,-0.00,30.73
2829182,1984,1,183009,221028,0.37,-0.74,9.95,-0.03,-0.01,-0.01,30.73
2869183,1979,1,183157,221445,0.38,-0.78,9.94,-0.03,-0.01,-0.01,30.73
2909182,1972,1,183312,221744,0.36,-0.78,9.93,-0.03,-0.01,-0.01,30.73
2949183,1951,1,183447,221949,0.37,-0.78,9.98,-0.03,-0.01,-0.01,30.73
2989868,1969,1,183506,222277,0.35,-0.77,9.95,-0.03,-0.01,-0.01,30.67
3028193,2006,1,183681,222876,0.36,-0.77,9.96,-0.03,-0.01,-0.00,30.67
3068182,2001,1,183881,223267,0.37,-0.76,9.99,-0.03,-0.01,-0.00,30.67
3108182,2007,1,183913,222642,0.36,-0.76,9.95,-0.03,-0.01,-0.01,30.67
3148182,2002,1,183101,219447,0.37,-0.76,9.96,-0.03,-0.01,-0.01,30.67
3188183,2011,1,182347,218533,0.38,-0.77,9.97,-0.03,-0.01,-0.00,30.67
3228182,2016,1,182158,218447,0.36,-0.77,9.93,-0.03,-0.01,-0.01,30.67
3269183,1971,1,182228,218510,0.35,-0.78,9.98,-0.03,-0.01,-0.00,30.67
3309182,1979,1,182261,218655,0.37,-0.77,9.96,-0.03,-0.01,-0.01,30.67
3349183,1979,1,182497,219833,0.37,-0.78,9.96,-0.03,-0.01,-0.00,30.67
3389182,1981,1,182836,220548,0.36,-0.77,9.96,-0.03,-0.01,-0.01,30.67
3429183,1967,1,182892,220410,0.34,-0.77,9.96,-0.03,-0.01,-0.01,30.67
