2026-05-10T11:34:21.522668,1817,1,106741,46.71,-0.15,-0.65,9.98,-0.04,-0.01,-0.01
2026-05-10T11:34:21.596197,1555,1,106713,46.71,-0.15,-0.64,9.92,-0.04,-0.01,-0.01
2026-05-10T11:34:21.675583,2128,1,106706,46.53,-0.14,-0.68,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:21.755281,2215,1,106702,46.37,-0.16,-0.68,9.95,-0.03,-0.01,-0.01
2026-05-10T11:34:21.827900,2074,1,106358,46.27,-0.15,-0.67,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:21.907483,1827,1,106369,46.05,-0.17,-0.66,10.0,-0.03,-0.01,-0.01
2026-05-10T11:34:21.986021,1791,1,106515,46.05,-0.14,-0.68,9.99,-0.03,-0.01,-0.01
2026-05-10T11:34:22.066850,1837,1,106526,45.97,-0.15,-0.68,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:22.147184,1802,1,106539,45.85,-0.15,-0.66,9.94,-0.03,-0.01,-0.01
2026-05-10T11:34:22.230543,1828,1,106540,45.67,-0.14,-0.65,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:22.304484,1960,1,106566,45.61,-0.15,-0.66,9.97,-0.03,-0.01,-0.01
2026-05-10T11:34:22.385617,2000,1,106269,45.49,-0.16,-0.67,9.95,-0.03,-0.01,-0.01
2026-05-10T11:34:22.484333,1798,1,106255,45.41,-0.14,-0.67,9.98,-0.03,-0.01,-0.01
2026-05-10T11:34:22.545581,1648,1,106377,45.41,-0.15,-0.65,9.98,-0.03,-0.02,-0.01
2026-05-10T11:34:22.615769,1967,1,106563,45.25,-0.11,-0.67,9.94,-0.03,-0.02,-0.01
2026-05-10T11:34:22.668327,1648,1,106508,45.25,-0.13,-0.66,9.97,-0.04,0.02,-0.01
2026-05-10T11:34:22.746854,1957,1,106575,45.17,-0.14,-0.68,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:22.825624,1840,1,106560,45.07,-0.15,-0.67,9.97,-0.03,-0.01,-0.01
2026-05-10T11:34:22.926180,2128,1,106535,44.97,-0.13,-0.68,9.93,-0.03,-0.02,-0.01
2026-05-10T11:34:22.985835,1725,1,106314,44.83,-0.14,-0.68,9.95,-0.03,-0.01,-0.01
2026-05-10T11:34:23.056126,1931,1,106288,44.83,-0.15,-0.67,9.97,-0.03,-0.01,-0.01
2026-05-10T11:34:23.107254,1777,1,106372,44.71,-0.15,-0.69,9.97,-0.03,-0.01,-0.01
2026-05-10T11:34:23.186912,1803,1,106460,44.63,-0.15,-0.69,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:23.266976,1756,1,106504,44.55,-0.14,-0.67,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:23.345673,1472,1,106494,44.55,-0.15,-0.68,9.96,-0.04,-0.01,-0.01
2026-05-10T11:34:23.404096,2002,1,106557,44.43,-0.14,-0.68,9.95,-0.03,-0.01,-0.01
2026-05-10T11:34:23.475386,2303,1,106506,44.31,-0.15,-0.67,9.96,-0.04,-0.01,-0.01
2026-05-10T11:34:23.554182,1858,1,106144,44.25,-0.16,-0.67,9.97,-0.04,-0.01,-0.01
2026-05-10T11:34:23.631952,1770,1,106073,44.25,-0.15,-0.68,9.94,-0.04,-0.01,-0.01
2026-05-10T11:34:23.706129,1821,1,106107,44.13,-0.16,-0.67,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:23.784737,1927,1,106113,44.03,-0.15,-0.67,9.97,-0.03,-0.01,-0.01
2026-05-10T11:34:23.844517,1872,1,106196,44.07,-0.16,-0.67,9.97,-0.04,-0.01,-0.01
2026-05-10T11:34:23.942120,2107,1,106123,43.99,-0.14,-0.66,9.95,-0.03,-0.01,-0.01
2026-05-10T11:34:24.016042,2063,1,106190,43.99,-0.14,-0.68,9.97,-0.04,-0.01,-0.01
2026-05-10T11:34:24.066579,2046,1,106213,43.99,-0.15,-0.68,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:24.146952,1792,1,105855,43.99,-0.15,-0.68,9.96,-0.04,-0.01,-0.01
2026-05-10T11:34:24.204949,1697,1,105921,43.99,-0.15,-0.67,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:24.274883,1904,1,106080,43.91,-0.14,-0.67,9.97,-0.03,-0.01,-0.01
2026-05-10T11:34:24.326160,2000,1,106145,43.89,-0.15,-0.67,9.97,-0.04,-0.01,-0.01
2026-05-10T11:34:24.406579,1824,1,106154,43.81,-0.14,-0.68,9.97,-0.03,-0.01,-0.01
2026-05-10T11:34:24.486060,1883,1,106240,43.81,-0.14,-0.68,9.97,-0.03,-0.01,-0.01
2026-05-10T11:34:24.546366,1978,1,106270,43.73,-0.16,-0.66,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:24.614173,2176,1,106331,43.69,-0.15,-0.67,9.98,-0.04,-0.01,-0.01
2026-05-10T11:34:24.670026,2064,1,106126,43.69,-0.14,-0.68,9.94,-0.04,-0.01,-0.01
2026-05-10T11:34:24.747216,1776,1,106024,43.63,-0.16,-0.69,9.98,-0.04,-0.01,-0.01
2026-05-10T11:34:24.826471,1885,1,106142,43.61,-0.16,-0.67,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:24.927056,1830,1,106061,43.49,-0.16,-0.68,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:25.007466,1586,1,106054,43.37,-0.15,-0.66,9.98,-0.03,-0.01,-0.01
2026-05-10T11:34:25.085261,1881,1,106079,43.29,-0.14,-0.68,9.97,-0.03,-0.01,-0.01
2026-05-10T11:34:25.165745,2103,1,106062,43.29,-0.15,-0.68,9.94,-0.03,-0.01,-0.01
