2026-05-10T11:34:21.522668,1817,1,22,106741,46.71,-0.15,-0.65,9.98,-0.04,-0.01,-0.01
2026-05-10T11:34:21.596197,1555,1,22,106713,46.71,-0.15,-0.64,9.92,-0.04,-0.01,-0.01
2026-05-10T11:34:21.675583,2128,1,22,106706,46.53,-0.14,-0.68,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:21.755281,2215,1,22,106702,46.37,-0.16,-0.68,9.95,-0.03,-0.01,-0.01
2026-05-10T11:34:21.827900,2074,1,22,106358,46.27,-0.15,-0.67,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:21.907483,1827,1,22,106369,46.05,-0.17,-0.66,10.0,-0.03,-0.01,-0.01
2026-05-10T11:34:21.986021,1791,1,22,106515,46.05,-0.14,-0.68,9.99,-0.03,-0.01,-0.01
2026-05-10T11:34:22.066850,1837,1,22,106526,45.97,-0.15,-0.68,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:22.147184,1802,1,22,106539,45.85,-0.15,-0.66,9.94,-0.03,-0.01,-0.01
2026-05-10T11:34:22.230543,1828,1,22,106540,45.67,-0.14,-0.65,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:22.304484,1960,1,22,106566,45.61,-0.15,-0.66,9.97,-0.03,-0.01,-0.01
2026-05-10T11:34:22.385617,2000,1,22,106269,45.49,-0.16,-0.67,9.95,-0.03,-0.01,-0.01
2026-05-10T11:34:22.484333,1798,1,22,106255,45.41,-0.14,-0.67,9.98,-0.03,-0.01,-0.01
2026-05-10T11:34:22.545581,1648,1,22,106377,45.41,-0.15,-0.65,9.98,-0.03,-0.02,-0.01
2026-05-10T11:34:22.615769,1967,1,22,106563,45.25,-0.11,-0.67,9.94,-0.03,-0.02,-0.01
2026-05-10T11:34:22.668327,1648,1,22,106508,45.25,-0.13,-0.66,9.97,-0.04,0.02,-0.01
2026-05-10T11:34:22.746854,1957,1,22,106575,45.17,-0.14,-0.68,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:22.825624,1840,1,22,106560,45.07,-0.15,-0.67,9.97,-0.03,-0.01,-0.01
2026-05-10T11:34:22.926180,2128,1,22,106535,44.97,-0.13,-0.68,9.93,-0.03,-0.02,-0.01
2026-05-10T11:34:22.985835,1725,1,22,106314,44.83,-0.14,-0.68,9.95,-0.03,-0.01,-0.01
2026-05-10T11:34:23.056126,1931,1,22,106288,44.83,-0.15,-0.67,9.97,-0.03,-0.01,-0.01
2026-05-10T11:34:23.107254,1777,1,22,106372,44.71,-0.15,-0.69,9.97,-0.03,-0.01,-0.01
2026-05-10T11:34:23.186912,1803,1,22,106460,44.63,-0.15,-0.69,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:23.266976,1756,1,22,106504,44.55,-0.14,-0.67,9.96,-0.03,-0.01,-0.01
2026-05-10T11:34:23.345673,1472,1,22,106494,44.55,-0.15,-0.68,9.96,-0.04,-0.01,-0.01
