timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp,time_sec,ecg_filtered,ppg_filtered,accel_magnitude,gyro_magnitude,ecg_norm,ppg_norm
1948966,1720,1,195496,240854,0.54,-1.08,11.9,-0.135,-0.0,-0.0,29.79,0.030472,-7.9839467612684,-103.22880387621417,11.961103628010251,0.135,-0.1342792132377187,-0.16205459609708017
1989206,1720,1,195263,239782,0.02,-0.86,8.15,-0.12,-0.06,-0.0,29.79,0.070712,-19.815814047455735,-367.9204156403618,8.195273027788641,0.1341640786499874,-0.3403745400211166,-0.6013731863851618
2029196,1720,1,195149,240340,0.38,-1.11,10.85,-0.09,-0.0,0.02,29.79,0.110702,-30.869090411096114,-561.2102625043481,10.913248828831861,0.09219544457292887,-0.5329078527342392,-0.922183590898281
2069194,1720,1,195390,240210,0.6,-1.06,8.33,-0.08,0.15,-0.02,29.79,0.1507,-43.30134705386872,-677.1336963184133,8.418580640464283,0.1711724276862369,-0.7494611602952924,-1.1145860595111792
2109176,1720,1,195577,240620,-0.1,-1.24,10.56,-0.06,0.06,-0.04,29.79,0.190682,-53.991011080988,-772.6576391453789,10.633024028939275,0.0938083151964686,-0.9356608317069044,-1.2731307282364388
2149199,1720,1,195417,240430,0.09,-0.67,10.12,0.0,0.02,-0.01,29.79,0.230705,-65.98166826781942,-900.990503838668,10.142553919008762,0.022360679774997897,-1.144522066497177,-1.4861295944601378
2189170,1720,1,195446,240234,0.91,-0.59,9.33,0.01,-0.11,0.0,29.79,0.270676,-77.63922140961405,-1051.3684750233244,9.39282172725534,0.11045361017187261,-1.3475810736800733,-1.7357175503115339
2229170,1720,1,195358,240040,0.49,-1.67,7.47,0.01,-0.01,0.0,29.79,0.310676,-87.38124691980256,-1159.0610539689026,7.670065188771214,0.01414213562373095,-1.5172741476886378,-1.9144589605569629
2269166,1720,1,195515,239784,0.14,-1.4,6.525000000000001,0.01,-0.08,0.0,29.79,0.350672,-101.4577380779638,-1177.0794006908507,6.674970037385937,0.0806225774829855,-1.7624678246487935,-1.9443646860480355
2309170,1720,1,195743,240032,0.4,-1.11,9.83,-0.03,0.02,0.06999999999999999,29.79,0.390676,-107.96219130521409,-1137.05871986869,9.900555539968451,0.0787400787401181,-1.8757667132344047,-1.8779408618702331
2349166,1750,1,195992,240459,0.19,-0.98,9.25,0.03,0.1,0.01,29.79,0.430672,-93.7874669562762,-1133.541213124884,9.30370893783764,0.10488088481701516,-1.6288619452803765,-1.8721027240701027
2389170,1777,1,196301,240471,-0.18,-0.69,9.26,0.02,0.16,-0.0,29.79,0.470676,-72.22556035961257,-1238.7192488800906,9.287416217657093,0.161245154965971,-1.2532823280799494,-2.046670652722179
2429176,1799,1,195979,240145,0.7,-0.06,10.22,0.03,-0.02,-0.0,29.79,0.510682,-63.325185709237886,-1427.0364534580983,10.244120264815326,0.03605551275463989,-1.0982496880329253,-2.3592277764285394
2469179,1823,1,195876,239760,0.39,-1.62,8.77,0.02,-0.02,0.0,29.79,0.550685,-49.33753665781287,-1588.3937971155665,8.926891956330602,0.0282842712474619,-0.854603521924358,-2.6270386083463726
2509166,1851,1,195908,239664,0.22,-1.5,9.28,0.01,-0.04,-0.0,29.79,0.590672,-25.049374770776968,-1626.0272179309,9.403020791213853,0.04123105625617661,-0.4315361784526794,-2.6895002076018946
2549179,1870,1,196529,240434,-0.31,-1.05,9.96,-0.01,0.1,0.06999999999999999,29.79,0.630685,-26.081137230978026,-1546.6452029434895,10.01999001995511,0.1224744871391589,-0.44950810260079926,-2.557746901609067
2589179,1868,1,196702,240789,0.39,-1.23,10.86,0.02,-0.03,0.0,29.79,0.670685,-18.88537884194391,-1449.4447789479127,10.936388800696507,0.03605551275463989,-0.3241676013281346,-2.3964197142436054
2629170,1941,1,196991,241830,-0.24,-1.59,11.45,-0.01,0.12,0.06999999999999999,29.79,0.710676,24.598450911583402,-1415.819323317902,11.562361350520057,0.13928388277184117,0.4332626407528413,-2.3406102850489487
2669179,1938,1,197081,241794,-0.26,-0.42,9.7,0.0,0.07,-0.01,29.79,0.750685,39.486711271945,-1401.489025977692,9.712569176072826,0.07071067811865477,0.6925962531055695,-2.316825753367153
2709179,1953,1,197510,242140,0.46,-1.32,12.73,-0.05,-0.04,-0.01,29.79,0.790685,23.73285981660292,-1240.1073151567925,12.80651787177139,0.06480740698407861,0.4181851998666457,-2.0489744783547437
2749199,1959,1,197632,241852,0.49,0.2,9.92,-0.07,-0.02,0.06999999999999999,29.79,0.830705,46.217570089043924,-772.2982235755222,9.934107911634543,0.10099504938362078,0.8098388247039131,-1.2725341927420777
2787170,1993,1,198868,242438,0.16,-1.06,10.68,-0.09,0.01,0.06999999999999999,29.79,0.868676,58.923579000566036,2.7214364958583923,10.733666661490844,0.11445523142259596,1.0311605311931296,0.013794989504509891
2827167,1934,1,200051,243908,0.88,-0.67,8.09,-0.07,-0.01,0.06999999999999999,29.79,0.908673,6.710205591857023,890.2879905117923,8.165255660418723,0.09949874371066199,0.12167329685828329,1.4869224705694224
2867179,1937,1,201197,244239,-0.18,-1.84,9.13,-0.11,-0.02,0.06999999999999999,29.79,0.948685,2.055068503543845,1624.6601363686707,9.315304611229845,0.1319090595827292,0.04058702566950505,2.70578744975943
2907199,2000,1,201629,244039,0.57,-1.1,10.34,-0.07,0.12,-0.01,29.79,0.988705,64.20881104295957,2054.7305933245634,10.413956980898279,0.1392838827718412,1.1232222149963953,3.419591508811994
2947179,2040,1,201422,243339,-0.53,-1.2,7.91,-0.05,0.03,0.0,29.79,1.028685,102.05174233897604,2228.6504082104366,8.018042155040094,0.05830951894845301,1.7823955393117492,3.7082527451450416
2987865,2040,1,201540,243604,0.45,0.08,8.42,-0.02,-0.11,0.06999999999999999,30.03,1.069371,106.14904576659484,2307.9252651876573,8.43239586357282,0.1319090595827292,1.8537650931125795,3.839828196971427
3028170,2032,1,202313,245174,0.65,-0.27,8.01,-0.06,0.02,0.06999999999999999,30.03,1.109676,88.37381220584199,2402.2468278990204,8.04086438139582,0.09433981132056603,1.5441442631332516,3.9963772303463396
3068166,2009,1,202643,245140,0.25,-1.04,6.78,-0.03,-0.04,0.0,30.03,1.149672,83.241227751765,2479.9404309249735,6.863854602189647,0.05,1.4547414964591125,4.12532821571484
3108178,2022,1,202199,244940,1.07,-0.45,10.41,-0.08,0.05,-0.02,30.03,1.189684,78.2196755736154,2418.4076649606404,10.474516695294346,0.09643650760992956,1.3672727637491202,4.023199977423465
3148176,2007,1,201894,245606,0.09,-1.02,8.2,-0.04,0.0,-0.09,30.03,1.229682,85.0484212552657,2125.859352263061,8.263685618415067,0.09848857801796104,1.486220393801007,3.5376465763584677
3188203,2023,1,201780,245397,0.22,-1.11,11.23,-0.05,-0.0,-0.09,30.03,1.269709,92.98712639597139,1624.3226445967189,11.286868476242647,0.10295630140987,1.6245020352897364,2.705227302014288
3228199,1959,1,201145,245004,0.08,-0.28,11.72,-0.04,0.02,-0.08,30.03,1.309705,32.42565401565236,1041.4236777530373,11.72361718924667,0.09165151389911681,0.569602065673228,1.7377680361637216
3268179,1931,1,200560,244400,-0.23,-1.73,11.01,-0.06,0.03,-0.09,30.03,1.349685,24.854495276945993,531.9515785112388,11.147461594461763,0.11224972160321824,0.43772259165273475,0.8921780949552672
3308196,1974,1,200080,244269,0.45,-0.56,13.285,-0.06,-0.05,-0.09,30.03,1.389702,44.16715703084954,187.88318890205937,13.304409983159719,0.11916375287812986,0.7741233675365694,0.3211148909558833
3348199,1879,1,200202,244309,-0.03,-1.05,12.17,-0.07,-0.04,-0.01,30.03,1.429705,-8.088416837436974,-3.8105837133375235,12.215248667137317,0.08124038404635961,-0.1360989424458196,0.0029535507036679938
3388212,1904,1,200117,244126,0.35,-0.85,12.6,-0.09,-0.06,-0.08,30.03,1.469718,-14.785372568750084,-129.59862867672612,12.633487246204034,0.1345362404707371,-0.25275096756701076,-0.20582158281907403
3428199,1872,1,199642,243665,-0.2,-1.07,13.0,-0.11,-0.04,-0.09,30.03,1.509705,-9.551350798292182,-273.1527296022468,13.04549347475978,0.147648230602334,-0.16158129831005108,-0.4440837054014376
3468212,1863,1,199571,243274,0.49,-0.74,11.67,-0.08,-0.11,-0.08,30.03,1.549718,-31.4127786830982,-457.4301973127333,11.703700269572867,0.157797338380595,-0.5423781763421943,-0.749935926394993
3508199,1835,1,199320,242950,0.38,-0.53,12.33,-0.11,-0.09,-0.05,30.03,1.589705,-46.94795266835755,-646.7734318792188,12.347234508180364,0.15066519173319362,-0.8129801600938802,-1.0641959905350422
3548199,1805,1,199000,242555,0.02,-1.21,9.46,-0.12,-0.11,-0.09,30.03,1.629705,-65.7960825372496,-795.6792361923792,9.537090751376963,0.18601075237738274,-1.1412894109185623,-1.3113405358440948
3588199,1818,1,198917,242293,0.39,-0.89,10.4,-0.12,-0.11,-0.03,30.03,1.669705,-57.06211758303135,-894.1732563021302,10.445295591796338,0.16552945357246848,-0.9891554055400765,-1.4748147531720606
3628199,1814,1,198806,241905,0.7,-1.35,9.02,-0.12,-0.1,-0.01,30.03,1.709705,-45.088099631201004,-968.9727967930245,9.147289215937146,0.15652475842498528,-0.7805840040019882,-1.59896235446415
3668199,1806,1,198725,241758,0.97,-0.51,7.18,-0.1,-0.16,-0.09,30.03,1.749705,-51.43782555180834,-1042.4501536428684,7.263153585048302,0.20904544960366872,-0.89118774954267,-1.7209154780037454
3708196,1798,1,198442,241783,-0.24,-2.3,9.31,-0.1,-0.01,-0.09,30.03,1.789702,-59.2031283131021,-1091.6677894357133,9.592898414973444,0.13490737563232041,-1.0264489531592096,-1.802603833103911
3748214,1791,1,198363,241851,-0.38,-1.67,10.06,-0.03,-0.05,-0.09,30.03,1.82972,-47.23707712581694,-1051.99774267225,10.20474889450985,0.10723805294763608,-0.8180163220199632,-1.7367619694172147
3788212,1810,1,198433,241814,0.14,-0.59,9.36,0.01,-0.08,-0.09,30.03,1.869718,-44.12732950106655,-869.4173409752752,9.379621527545767,0.12083045973594572,-0.7638486714340725,-1.4337264325025871
3828179,1779,1,198720,242188,-0.15,-1.77,9.62,-0.03,-0.01,-0.0,30.03,1.909685,-50.354661848586105,-558.8396772952045,9.782627458919203,0.03162277660168379,-0.8723204843869741,-0.9182490417627885
3868212,1826,1,198969,242500,0.07,-1.3,9.64,-0.01,-0.03,-0.0,30.03,1.949718,-16.548126597790485,-216.9263011289222,9.727512528904809,0.03162277660168379,-0.2834557886122864,-0.35076259435752355
3908199,1811,1,199138,242485,0.3,-1.27,9.04,0.03,-0.05,0.0,30.03,1.989705,-22.180867656698123,25.766299252996458,9.133701330785893,0.05830951894845301,-0.38157061538836584,0.05204341208342105
3948166,1795,1,198986,242119,-0.52,-2.3,9.38,0.01,0.06,0.01,30.03,2.029672,-32.10749157943212,80.85894788604494,9.671856078333672,0.06164414002968976,-0.5544791472141146,0.14348274622550053
3988856,1851,1,198791,241823,-0.35,-1.19,8.76,0.05,-0.05,0.01,29.93,2.070362,9.933574286249497,-45.393680166689826,8.847383794094162,0.07141428428542851,0.17782007473752204,-0.06606347326601447
4027181,1808,1,198613,242236,-0.36,-2.14,10.11,0.04,0.04,0.01,29.93,2.108687,-10.32584936711352,-256.3551923339507,10.340275624953136,0.05744562646538029,-0.1750720290437241,-0.41620420312391626
4067170,1807,1,198146,242084,-0.45,-1.96,9.86,0.065,-0.02,-0.09,29.93,2.148676,-37.75372967061707,-421.78939484867664,10.062986634195635,0.11280514172678478,-0.6528290742673115,-0.690781550512477
4107199,1809,1,198163,242065,0.06,-1.06,10.13,0.065,-0.06,-0.01,29.93,2.188705,-11.429281717742315,-451.9669041287767,10.185484770004814,0.08902246907382427,-0.19429234696866382,-0.7408682939002961
4147179,1839,1,198131,242320,0.19,-0.94,11.56,0.02,0.02,-0.01,29.93,2.228685,-5.399854243800636,-343.7774245410072,11.599711203301572,0.030000000000000002,-0.08926777261348348,-0.5613021590321794
4187167,1824,1,198242,242509,0.15,-1.64,10.31,0.03,-0.07,-0.0,29.93,2.268673,-5.9203023197896405,-170.05436412890845,10.440699210301963,0.07615773105863909,-0.09833328304394305,-0.27296748347480326
4227178,1847,1,198557,242836,0.89,-0.25,10.13,0.01,-0.14,-0.01,29.93,2.308684,2.5137764365624498,-20.905778824796126,10.172094179666251,0.1407124727947029,0.048577105262771834,-0.02541998545416713
4267179,1851,1,198322,242487,-0.12,-1.69,12.65,-0.05,0.05,-0.01,29.93,2.348685,9.180632249229005,58.65961617775876,12.762954203474994,0.07141428428542851,0.1647048299992843,0.10663768322398845
4307199,1872,1,198425,242515,0.29,-0.46,9.23,0.03,-0.14,-0.04,29.93,2.388705,23.214772094980862,87.12391249811216,9.246004542503751,0.14866068747318506,0.40916080365702834,0.15388094284092835
4347177,1885,1,198213,242489,-0.2,-1.24,12.53,-0.05,0.07,-0.0,29.93,2.428683,32.87959309868906,110.46390205712893,12.592795559366474,0.08602325267042628,0.577509078268562,0.1926191984360558
4387199,1893,1,198303,242808,0.03,-0.59,10.46,0.0,-0.08,-0.03,29.93,2.468705,33.09162067109022,149.500024311643,10.476669318060965,0.08544003745317531,0.58120231541906,0.25740891385192294
4427176,1856,1,198682,242887,0.59,-0.14,11.64,-0.05,-0.14,-0.01,29.93,2.508682,-2.0069120146235866,180.8205479050257,11.65578397191712,0.1489966442575134,-0.03016725022207953,0.30939276094258944
4467199,1851,1,198400,242480,0.34,-0.77,10.07,-0.07,0.06,-0.01,29.93,2.548705,-26.983194241287826,163.97337967076032,10.10511751539783,0.09273618495495704,-0.4652207310321616,0.28143088429037993
4507176,1873,1,198238,242252,0.75,-0.57,10.62,-0.06,-0.17,-0.01,29.93,2.588682,12.266881897651741,80.32731411102439,10.661697801007117,0.1805547008526779,0.2184631772188628,0.1426003737202484
4547199,1882,1,198072,241927,1.35,-0.5,9.33,-0.06,-0.11,-0.02,29.93,2.628705,-15.426182969516175,-55.062663004819875,9.440413126553308,0.1268857754044952,-0.2639130289523903,-0.08211144653443789
4587199,1793,1,198079,241979,0.48,-0.93,7.66,-0.07,-0.06,0.0,29.93,2.668705,-74.06493185218842,-208.05760846584005,7.731164207284696,0.09219544457292887,-1.2853217230181462,-0.3360428926923451
4627179,1858,1,197996,242110,0.51,-1.73,9.01,-0.09,0.02,-0.0,29.93,2.708685,-51.74936905193773,-337.1408207738318,9.188748554618305,0.09219544457292887,-0.8966144212516544,-0.5502871389797345
4667176,1810,1,198177,242506,0.56,-0.45,10.62,-0.03,-0.07,0.0,29.93,2.748682,-71.72752278655118,-389.97772738875415,10.644270759427345,0.07615773105863909,-1.2446071786814834,-0.6379825335354707
4707179,1835,1,197952,242377,0.46,-1.24,9.0,-0.02,-0.07,-0.09,29.93,2.788685,-78.65005935658967,-307.6684341684264,9.096658727247055,0.11575836902790225,-1.365188520752287,-0.5013707141273704
4747196,1888,1,198491,242422,0.68,-1.09,9.14,-0.02,-0.09,-0.01,29.93,2.828702,-11.670253860707833,-60.6451896770903,9.229848319447076,0.09273618495495703,-0.1984897598832045,-0.09137697531928188
4787199,1920,1,198554,242871,0.92,-1.01,11.33,-0.07,0.03,-0.01,29.93,2.868705,3.874901542638753,301.49576045627435,11.412072554974403,0.07681145747868609,0.07228608684147557,0.5096819348510088
4827216,1919,1,199301,243623,1.58,0.4850000000000002,6.525000000000001,0.05,-0.195,0.06999999999999999,29.93,2.908722,6.28609666344749,641.0836493504096,6.731066037411906,0.21313141485947118,0.11428588571867736,1.0733086838573578
4867147,1934,1,199608,243535,1.4,-1.84,8.89,-0.06,0.02,0.03,29.93,2.948653,12.406676638139684,800.4608332044041,9.18573350364575,0.06999999999999999,0.22089821490366657,1.3378329703209952
4907166,1932,1,199619,244007,-0.05,-0.82,9.62,-0.04,0.165,0.0,29.93,2.988672,12.88044007563895,713.1152434973313,9.655014241315234,0.16977926846349645,0.2291505412785088,1.1928622208429795
4947179,2000,1,199167,243984,1.03,-2.03,9.84,-0.01,-0.02,-0.09,29.93,3.028685,71.87362584572652,468.43991195247304,10.099871286308554,0.09273618495495704,1.2567330525760747,0.7867654011661437
4987199,2033,1,199297,244091,0.62,-0.28,9.03,0.03,-0.01,0.0,29.93,3.068705,111.88249536412967,263.5174183952569,9.055589434156122,0.03162277660168379,1.9536341281362855,0.4466478568742897
5027856,2040,1,199008,243862,-0.33,-1.58,10.72,-0.02,0.165,0.0,29.83,3.109362,106.74852615160259,266.5620088392601,10.840834838701308,0.16620770138594662,1.8642072408192771,0.4517010777638729
5066179,2040,1,199525,244776,0.9,-0.32,9.05,0.065,-0.18,-0.0,29.83,3.147685,119.94838396094632,495.35547201399066,9.100269226786645,0.19137659209004637,2.094131135578217,0.8314381651582882
5106179,2040,1,200416,245355,1.28,-0.79,10.8,-0.02,0.03,0.06999999999999999,29.83,3.187685,104.6417600031535,805.7156176292308,10.90424229371303,0.0787400787401181,1.8275101880786921,1.3465545330119943
5146166,1982,1,200333,244993,0.26,-0.2,8.01,-0.01,0.03,0.01,29.83,3.227672,63.85110987626245,993.7797254642126,8.016713790575288,0.033166247903554,1.116991538378909,1.6586915825663573
5186170,1994,1,200092,244021,0.94,-1.14,11.21,-0.01,-0.0,-0.01,29.83,3.267676,62.7033182954487,925.4031558789239,11.306958034767796,0.01414213562373095,1.0969985419054615,1.5452044268581133
5226199,2015,1,199988,244001,0.42,-0.33,11.05,-0.05,-0.01,0.0,29.83,3.307705,96.08744321283196,600.5045701156099,11.062901970098082,0.050990195135927854,1.6785054137969373,1.005958064901947
5266179,2004,1,199734,243151,-0.07,-1.75,9.62,-0.04,0.16,0.0,29.83,3.347685,84.89991169815494,131.92918351465502,9.778128655320504,0.16492422502470644,1.4836335556491855,0.22824593071973656
