timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp,time_sec,ecg_filtered,ppg_filtered,accel_magnitude,gyro_magnitude,ecg_norm,ppg_norm
1957961,1771.5,1,209502,252953,0.3,-1.8,12.36,0.01,0.15,0.11500000000000002,27.61,0.030471,1.4053222034541335,-10.418446181613103,12.493982551612596,0.189274932307477,0.021676463675304753,-0.014062972015926996
1998159,1771.5,1,209540,252812,0.37,-1.37,8.0,0.01,0.15,-0.02,27.61,0.070669,-6.435327782182059,97.97686734544807,8.124887691531496,0.15165750888103102,-0.11999104489835741,0.11474912218602694
2038162,1793.0,1,209621,253862,0.28,-1.53,9.63,-0.01,-0.06,-0.03,27.61,0.110672,6.099881163916628,173.3182908723488,9.754803944723852,0.06782329983125268,0.10649933843686946,0.20428146661006508
2078215,1808.0,1,209764,253702,0.18,-1.37,10.6,-0.09,0.13,-0.04,27.61,0.150725,10.979864412728448,223.3398271248158,10.68968194101209,0.16309506430300091,0.19467252178351532,0.2637248007378881
2118176,1834.0,1,209563,254053,0.62,-0.27,10.99,-0.01,-0.15,-0.03,27.61,0.190686,35.84675032115092,300.4277270010618,11.01078562138052,0.1532970971675589,0.6439758039202547,0.35533257876429497
2158196,1872.0,1,209786,254204,1.43,-1.57,7.320000000000001,-0.11,-0.03,-0.05,27.61,0.230706,50.905505408160494,457.74801505282045,7.621823928693185,0.12449899597988733,0.9160624701157624,0.5422849026702774
2198196,1865.0,1,209981,255115,-0.2,-1.7,9.24,-0.09,-0.05,-0.04,27.61,0.270706,58.664486416127325,688.425061436208,9.397212352607555,0.11045361017187261,1.0562543560541364,0.8164110845328101
2238210,1910.0,1,210065,254787,0.95,-0.6,8.03,-0.11,0.05,-0.06,27.61,0.31072,66.3677438131846,900.065942495817,8.108230386465348,0.13490737563232041,1.195439408995151,1.0679155474192878
2278173,1874.0,1,210208,254825,0.08,-0.66,10.99,-0.11,-0.01,-0.05,27.61,0.350683,55.20809766054247,957.480382474707,11.010090826146712,0.12124355652982141,0.9938031581862602,1.1361442743860386
2318196,1936.0,1,210085,254071,0.74,-0.96,9.45,-0.11,-0.01,-0.06,27.61,0.390706,77.73504244627011,774.3004374087436,9.527418328172642,0.12569805089976535,1.4008275948613964,0.9184615022073792
2358199,1915.0,1,209711,253516,-0.62,-1.78,11.25,-0.11,0.15,-0.04,27.61,0.430709,76.91646394260013,387.7721288247686,11.406809369845714,0.19026297590440447,1.3860372423524425,0.45912872040209546
2398197,1902.0,1,208814,250936,0.9,-1.14,7.61,-0.11,0.03,-0.06,27.61,0.470707,36.0436628134308,-47.4164236010657,7.747367294765365,0.12884098726725127,0.6475336852488978,-0.05802969712204979
2438173,1913.0,1,208617,250635,-0.1,-1.41,10.75,-0.11,0.04,-0.05,27.61,0.510683,52.925533659467035,-350.7207692108183,10.842536603581285,0.12727922061357855,0.9525610219112471,-0.41846288069129783
2478196,1952.0,1,208787,251063,0.33,-1.65,9.33,-0.11,0.09,-0.05,27.61,0.550706,80.59210849399767,-425.60765077106333,9.480522137519642,0.15066519173319362,1.4524500278935375,-0.5074550679745665
2518176,1935.0,1,208836,251907,-0.58,-2.24,9.23,-0.11,0.09,-0.05,27.61,0.590686,54.23649784953538,-306.3641177800757,9.515613485214708,0.15066519173319362,0.9762479650826049,-0.3657514397934991
2559196,1877.0,1,208804,251713,0.68,-1.0,8.67,-0.11,0.04,-0.05,27.61,0.631706,0.5135606707569496,-117.74473099700154,8.753930545760573,0.12727922061357855,0.00556381551342029,-0.14160468078670446
2597173,1843.0,1,209027,253224,-0.96,-2.27,10.84,-0.09,0.15,-0.04,27.61,0.669683,-56.84663689458583,9.365946543736605,11.116658670661792,0.17944358444926362,-1.0308395815597629,0.009447906605499443
2637196,1771.5,1,208847,253188,0.13,-1.39,8.25,-0.07,0.06,-0.05,27.61,0.709706,-108.93947219507832,6.302340656042099,8.367287493566836,0.10488088481701516,-1.9720705005624666,0.005807255756652134
