timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp,time_sec,ecg_filtered,ppg_filtered,accel_magnitude,gyro_magnitude,ecg_norm,ppg_norm
1948956,1844.5,1,214293,242367,1.27,-0.23,9.88,-0.03,-0.01,-0.0,31.760000000000005,0.030471,-1.655983998483197,36.1668313433188,9.963945001855441,0.03162277660168379,-0.05714898865427079,0.054366606177576084
1989198,1844.5,1,214459,242630,1.31,-0.23,9.92,-0.03,-0.01,-0.0,31.760000000000005,0.070713,-7.757958102438149,119.86591167614641,10.008766157723938,0.03162277660168379,-0.29800420210824613,0.1754875079378523
2029185,1844.5,1,214520,242714,1.3,-0.24,9.92,-0.03,-0.01,-0.0,31.760000000000005,0.1107,-17.76442027115568,190.74902156908107,10.00769703778047,0.03162277660168379,-0.6929761473355284,0.27806242459960334
2069187,1844.5,1,214626,243108,1.29,-0.21500000000000002,9.93,-0.03,-0.01,-0.0,31.760000000000005,0.150702,-21.21018969771927,257.48421192789505,10.015748848688249,0.03162277660168379,-0.8289864804849663,0.3746348887564526
2109186,1844.5,1,214806,243652,1.3,-0.24,9.94,-0.03,-0.01,0.0,31.760000000000005,0.190701,-31.08539810840304,348.4783624761595,10.027522126627295,0.03162277660168379,-1.2187776184244288,0.5063124833666942
2149187,1844.5,1,214950,244078,1.3,-0.22,9.91,-0.03,-0.01,-0.0,31.760000000000005,0.230702,-37.45503912482721,484.1780800364843,9.997324642123012,0.03162277660168379,-1.470198096535223,0.7026834840295885
2189185,1844.5,1,215103,244485,1.29,-0.23,9.91,-0.03,-0.01,-0.0,31.760000000000005,0.2707,-41.021394124182024,641.9584444627914,9.996254298486008,0.03162277660168379,-1.6109681457010359,0.9310073789085623
2229188,1844.5,1,215180,244912,1.3,-0.24,9.91,-0.03,-0.01,-0.0,31.760000000000005,0.310703,-54.73110719314463,745.1913716328017,9.997784754634399,0.03162277660168379,-2.1521136522802164,1.0803957017009278
2269186,1844.5,1,215334,245160,1.3,-0.25,9.9,-0.03,-0.01,0.0,31.760000000000005,0.350701,-51.442093667317025,697.9097643782809,9.988117940833499,0.03162277660168379,-2.0222907390196085,1.0119745089641579
2309187,1844.5,1,215230,244185,1.31,-0.24,9.94,-0.03,-0.01,0.0,31.760000000000005,0.390702,-66.78299015810903,452.5566457240155,10.02882346040651,0.03162277660168379,-2.6278218074766513,0.6569241205616796
2349186,1844.5,1,214727,242470,1.31,-0.25499999999999995,9.92,-0.03,-0.01,-0.0,31.760000000000005,0.430701,-68.92898779502626,62.1005344731951,10.009371858413495,0.03162277660168379,-2.7125279550455863,0.09189525639193141
2389188,1881.0,1,214255,241433,1.31,-0.22,9.95,-0.03,-0.01,-0.0,31.760000000000005,0.470703,-31.954383056073894,-333.2799270986683,10.038276744541365,0.03162277660168379,-1.2530779205059959,-0.4802596329276332
