timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp,time_sec,ecg_filtered,ppg_filtered,accel_magnitude,gyro_magnitude,ecg_norm,ppg_norm
1948960,1810,1,188458,233478,2.52,-1.25,9.67,-0.5,0.01,-1.28,33.73,0.030471,3.2882487935341196,-32.904585729416894,10.070839091158193,1.374227055475186,0.02255603160894393,-0.06731410443633115
1989179,1841,1,188505,233693,2.6,-1.15,9.87,-0.45,0.0,-1.28,33.73,0.07069,29.223085255885323,16.867639925485836,10.27129008450253,1.3567977004697496,0.22033197900938833,0.03317798704152689
2029173,1855,1,188587,233684,2.6,-0.83,10.12,-0.45,0.03,-1.28,33.73,0.110684,32.48704391514916,79.02701217154522,10.481569538957416,1.3571293232407884,0.24522253565696497,0.15868021724653536
2069173,1877,1,188512,233660,2.49,-0.79,10.21,-0.52,0.04,-1.15,33.73,0.150684,56.915672648699754,153.99334047223635,10.538894628944727,1.262735126619989,0.4315123238530569,0.31004019808376193
2109173,1887,1,188687,233956,2.04,-1.01,9.92,-0.55,0.18,-1.12,33.73,0.190684,45.27560594636355,227.3264245313131,10.177823932452359,1.260674422680178,0.34274657346165444,0.45810259422240607
2149190,1897,1,188785,234093,2.02,-1.02,9.61,-0.55,0.17,-1.08,33.73,0.230701,69.395950663253,278.24703872615174,9.872836471855491,1.2238463955905579,0.5266854247797722,0.5609133275670658
2189173,1959,1,188712,233953,2.04,-0.95,9.68,-0.36,0.21,-0.96,33.73,0.270684,100.27716317917009,293.2448857844693,9.938133627598292,1.0465658125507444,0.7621818417738072,0.5911945737585733
2229173,1907,1,188584,233833,2.13,-0.86,9.58,-0.23,0.17,-0.82,33.73,0.310684,65.61830922878875,272.1717189738234,9.851543026348715,0.8684468895678077,0.4978775849954372,0.5486470167827885
2269173,1947,1,188600,233708,2.02,-0.83,10.14,-0.28,0.15,-0.65,33.73,0.350684,79.50565264269282,221.9191607655134,10.37250692937826,0.7234638899074369,0.6037807976317432,0.44718511488834445
2309173,1943,1,188561,233376,2.15,-1.18,9.68,-0.35,0.16,-0.54,33.73,0.390684,81.24941410576761,146.94975302456245,9.985854995943011,0.6630987860040162,0.6170785130771691,0.2958189165394793
2349204,1942,1,188377,232775,2.04,-1.3,9.99,-0.19,0.24,-0.43,33.73,0.430715,68.757867195831,48.72354772746035,10.278701279831028,0.5278257288158659,0.5218194769079534,0.09749632440386062
2389173,1959,1,188200,232417,2.44,-1.71,9.44,-0.09,0.08,-0.37,33.73,0.470684,80.75721233345739,-65.35837600292471,9.899055510501999,0.38910152916687435,0.6133250414880135,-0.13283959014760383
2429173,1927,1,188187,232254,2.41,-2.04,9.42,-0.2,0.18,-0.43,33.73,0.510684,40.742075382833725,-173.56081361204332,9.935094362913722,0.5072474741188959,0.30817441398139006,-0.35130458975872125
2469173,1904,1,188001,232101,2.13,-1.93,10.05,-0.33,0.15,-0.54,33.73,0.550684,20.331493795550582,-241.82301777273986,10.452956519568998,0.650384501660364,0.15252577064874467,-0.4891286788914769
2509173,1898,1,188001,232351,2.38,-1.79,9.7,-0.35,-0.13,-0.66,33.73,0.590684,-8.241096923750366,-238.1100638636673,10.146846800853947,0.7582875444051551,-0.06536537385097985,-0.4816320781473059
2549210,1845,1,188009,232592,2.55,-1.56,9.44,-0.38,-0.11,-0.64,33.73,0.630721,-39.12198031698725,-151.67628152312608,9.902004847504367,0.7523961722390672,-0.300859280994992,-0.3071188542065688
2589193,1856,1,188215,232912,2.13,-1.51,9.91,-0.4,0.18,-0.48,33.73,0.670704,-66.7679442891149,-4.231339047697653,10.24817544736623,0.6502307282803543,-0.511684081233212,-0.009421685710975465
2629173,1701,1,188340,233075,1.88,-2.0,9.85,-0.39,0.09,-0.51,33.73,0.710684,-187.13475149022648,156.2765959230023,10.225306841361778,0.6483054835492292,-1.4295868937041685,0.3146501811135863
2669173,1767,1,188350,233121,2.04,-2.03,9.18,-0.17,0.09,-0.53,33.73,0.750684,-164.43118036071124,276.62445899613897,9.620545722566884,0.563826214360418,-1.256452187571297,0.5576372749390577
2709173,1839,1,188367,233158,1.64,-1.9,9.23,0.14,0.26,-0.35,33.73,0.790684,-54.29956522286959,321.69971316760274,9.565171195540621,0.45793012567421243,-0.416601720256914,0.6486459952842819
2749164,1843,1,188429,232965,1.19,-1.72,9.7,0.42,0.29,-0.26,33.73,0.830675,-94.40456654398396,288.0301340635578,9.922927995304612,0.5728001396647874,-0.7224376426578061,0.5806657838546294
2789165,1831,1,188209,232686,1.08,-1.24,9.94,0.44,0.1,-0.29,33.73,0.870676,-63.61337457300885,201.4849548427307,10.075098014411571,0.5363767332761554,-0.4876277115256445,0.4059276452082159
2829164,1872,1,187991,232698,1.24,-1.02,9.76,0.12,0.0,-0.31,33.73,0.910675,-68.13580673449377,100.67800620274319,9.89118799740456,0.33241540277189324,-0.5221152359251268,0.20239443022658896
2869164,1727,1,188007,232418,1.22,-1.05,9.77,-0.15,0.08,-0.24,33.73,0.950675,-170.18254723371746,15.795147994096613,9.90170692355616,0.29410882339705485,-1.3003114204532003,0.03101258342816017
2909173,1850,1,187889,231982,1.23,-1.09,9.68,-0.15,0.04,-0.23,33.73,0.990684,-81.81192456487169,-42.939056680767905,9.818523310559485,0.27748873851023215,-0.6264076676352548,-0.08757409802726968
2949173,1899,1,187745,231854,1.15,-0.88,9.73,0.1,0.16,-0.07,33.73,1.030684,-6.1521989791784435,-79.70649807774916,9.8371642255276,0.2012461179749811,-0.04943568905769856,-0.16180901590879046
2989847,1889,1,187803,231954,0.91,-1.02,10.24,0.23,0.21,0.12,33.85,1.071358,-25.224484443654354,-97.52034551389377,10.330832493076247,0.33376638536557274,-0.19487864692266138,-0.19777587820138146
3028165,1941,1,187753,231755,0.93,-0.96,10.25,0.19,0.0,-0.03,33.85,1.109676,31.042181194335576,-88.18362414823004,10.33677899541245,0.19235384061671346,0.23420418611435972,-0.17892466861137735
3068161,1951,1,187629,232082,1.11,-0.84,10.16,0.04,-0.06,-0.08,33.85,1.149672,52.936136680949886,-38.01643446225124,10.254915894340627,0.10770329614269007,0.40116486061077195,-0.07763512913879712
3108173,1963,1,187879,232275,1.33,-0.74,9.83,-0.08,0.17,-0.03,33.85,1.189684,60.06138336140276,54.753209238221366,9.947130239420815,0.1902629759044045,0.45550113586487406,0.10967044939319047
3148173,1962,1,187897,232294,1.44,-1.17,9.73,0.14,0.24,0.1,33.85,1.229684,75.79639276906435,166.36146852819206,9.905321801940612,0.295296461204668,0.5754944274159035,0.335011937636392
3188153,1953,1,187897,232169,1.43,-1.47,9.81,0.07,0.27,-0.04,33.85,1.269664,65.97837313670033,251.46009079095037,10.022070644332937,0.28178005607210743,0.5006233891039495,0.5068294205908924
3228164,1975,1,187962,232307,1.28,-1.41,10.11,-0.07,0.24,-0.28,33.85,1.309675,102.6675228516467,265.5616473253185,10.287788878082598,0.3753664875824692,0.7804104374905437,0.5353010207772569
3268173,1982,1,187873,232166,1.11,-0.94,10.52,-0.24,0.0,-0.49,33.85,1.349684,113.07474231986427,193.20809714717325,10.620080037363183,0.5456189146281496,0.8597746429721956,0.3892163422727555
3308173,1931,1,187705,232473,1.22,-0.64,10.13,-0.46,-0.23,-0.66,33.85,1.389684,78.4629221627003,62.70718934637855,10.223252906976331,0.8367197858303579,0.5958290602508958,0.1257298497138442
3348194,1937,1,187610,232028,1.75,-0.25,9.19,-0.5,-0.09,-0.66,33.85,1.429705,87.04161962780789,-67.03559424881917,9.358477440267727,0.8328865468957942,0.6612491765908015,-0.1362259600994598
3388193,1933,1,187404,232151,1.24,-0.2,9.34,-0.29,0.11,-0.38,33.85,1.469704,104.31898571849369,-145.10904389981772,9.424075551479836,0.4905099387372288,0.7930042949286449,-0.29385934179146894
3428173,1920,1,187466,231700,1.14,-0.43,9.88,-0.17,0.24,-0.56,33.85,1.509684,91.67869943548436,-168.2611758595705,9.954843042459284,0.6325345840347388,0.6966109901679187,-0.3406044116008545
3468173,1889,1,187263,231688,1.01,-0.99,9.66,-0.19,0.19,-0.27,33.85,1.549684,85.79743307015715,-187.91061513196667,9.76298110210196,0.3809199390948182,0.6517611593619486,-0.380277406385964
3508173,1907,1,187426,231952,0.95,-0.91,9.85,-0.15,0.23,-0.21,33.85,1.589684,103.01432893148316,-268.8138538486411,9.937459433879466,0.3456877203488721,0.7830551389947719,-0.5436242440849969
3548173,1856,1,187429,231721,1.06,-0.91,9.83,-0.05,0.09,-0.19,33.85,1.629684,79.41005172813861,-424.42528104982705,9.928776359652785,0.21610182784974308,0.6030517565415572,-0.8578098681261284
3588173,1825,1,187036,230811,1.38,-1.2,9.44,-0.11,-0.02,-0.23,33.85,1.669684,46.72053166229278,-585.5302960435065,9.615508306896729,0.25573423705088844,0.3537654033974443,-1.183087263124272
3628193,1803,1,186675,230612,1.29,-1.19,10.02,-0.28,0.17,-0.39,33.85,1.709704,52.94556582766745,-641.1467108754846,10.17254147202163,0.5093132631298738,0.40123676615094955,-1.2953790036165942
3668173,1692,1,187023,231646,1.3,-1.49,9.7,-0.55,0.16,-0.38,33.85,1.749684,-58.305290612734794,-524.4558170299664,9.8994999873731,0.687386354243376,-0.44714890088620657,-1.059775475249931
3708173,1517,1,187649,232597,1.12,-1.84,10.27,-0.47,-0.0,-0.32,33.85,1.789684,-210.6906540537891,-266.22905552085865,10.493469397677776,0.5685947590331799,-1.6092213769654828,-0.5384054340641566
3748194,1520,1,187935,232991,1.0,-1.5,10.29,-0.24,-0.12,-0.22,33.85,1.829705,-198.34950333486145,32.03774316879875,10.446726760090932,0.34698703145794946,-1.5151092440823317,0.06380702528115777
3788207,1590,1,187796,233150,1.1,-1.3,10.02,-0.05,-0.17,-0.06,33.85,1.869718,-120.53935241616624,271.3054988029821,10.163680435747672,0.18708286933869708,-0.921738380238397,0.5468980840094843
3828193,1667,1,187949,233578,0.98,-1.32,10.13,-0.04,-0.03,0.16,33.85,1.909704,-21.036900701881574,402.95867536007773,10.262538672277929,0.1676305461424021,-0.16294463634773115,0.8127110527454533
3868173,1755,1,188287,233820,0.72,-1.6,10.21,-0.0,-0.02,0.31,33.85,1.949684,64.32013591167353,424.1159302067552,10.359657330240225,0.31064449134018135,0.4879778712241492,0.8554283867906355
3908173,1757,1,188274,233247,0.51,-1.58,10.42,0.18,-0.33,0.39,33.85,1.989684,85.80507767169667,351.5685796313568,10.551440659928861,0.5416641025580337,0.6518194561749696,0.708952417621653
3948164,1776,1,188005,232625,1.01,-1.83,10.11,0.18,-0.46499999999999997,0.42,33.85,2.029675,115.35967816741233,209.5049012281903,10.323812280354579,0.6519394143630219,0.8771992892642234,0.42212023405089977
3988196,1808,1,187821,232074,1.37,-2.14,9.51,-0.28,-0.46499999999999997,0.29,33.85,2.069707,137.00763397310413,31.480508352638175,9.843607062454291,0.6154063698077881,1.0422839997450042,0.06268194615553221
4030860,1805,1,187809,232098,1.68,-1.98,9.84,-0.51,-0.46499999999999997,0.13,33.93,2.112371,177.72754164781165,-140.51269004637288,10.176856096064245,0.7022997935354958,1.352809124131842,-0.28457912163198557
4069173,1769,1,187650,231993,2.2,-1.9,8.87,-0.23,-0.46499999999999997,0.34,33.93,2.150684,93.67886437436529,-265.6058911741941,9.334179128343317,0.6202620413986334,0.711864007718987,-0.5371472406097398
4109173,1446,1,187711,232068,2.12,-2.15,9.05,0.2,-0.14,0.53,33.93,2.190684,-161.14847715021222,-315.20953635450417,9.540408796272832,0.5835237784358064,-1.2314186872277184,-0.6372989614441068
