timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp,time_sec,ecg_filtered,ppg_filtered,accel_magnitude,gyro_magnitude,ecg_norm,ppg_norm
1950965,1759.75,1,196358.0,238157,0.67,-1.41,12.41,-0.03,-0.06,0.04,28.35,0.030472,-0.1659706579181074,-89.31336624538837,12.50780156542308,0.07810249675906654,0.006663668002771224,-0.10058013069001875
1991183,1759.75,1,196405.0,237263,-0.15,-1.33,9.65,-0.135,0.01,0.04,28.35,0.07069,-19.38883016441975,-382.08570074154477,9.742376506787243,0.14115594213493105,-0.18589816239179577,-0.43980195847777465
2031176,1759.75,1,195868.0,235857,0.18,-1.3,10.03,-0.07,-0.03,0.01,28.35,0.110683,-38.887381351279735,-567.1758180329431,10.11549801047877,0.07681145747868609,-0.3812216888064788,-0.6542573577595758
2071197,1759.75,1,195750.0,235329,0.39,-1.39,9.57,-0.08,-0.01,0.01,28.35,0.150704,-58.500113919195655,-573.325942662219,9.678279805833267,0.08124038404635961,-0.5776890084078974,-0.6613832240797517
2111176,1759.75,1,195699.0,236579,0.27,-1.53,10.12,-0.06,-0.03,0.0,28.35,0.190683,-77.77655545558783,-412.6055267121789,10.238564352486142,0.0670820393249937,-0.7707875879655368,-0.47516387601461985
2151178,1759.75,1,196299.0,236070,-0.22,-0.9,9.1,-0.07,0.02,0.03,28.35,0.230685,-98.40339768065186,-204.01703745944488,9.147043238117988,0.07874007874011811,-0.9774135841017966,-0.2334819947618403
2191204,1759.75,1,195908.0,237735,0.48,-1.17,9.79,-0.03,-0.07,0.02,28.35,0.270711,-117.32800343338002,-119.54675608856384,9.871342360591086,0.07874007874011811,-1.166987706620267,-0.13561016787051744
2231179,1759.75,1,196900.0,237542,-0.03,-1.49,10.51,-0.06,0.04,0.045,28.35,0.310686,-138.25243188316665,-262.9119063928343,10.615135420709432,0.08499999999999999,-1.3765947237702534,-0.3017207684878016
2271176,1759.75,1,195191.0,234980,0.1,-1.54,7.69,-0.02,-0.11,0.02,28.35,0.350683,-158.37407818066552,-575.4034832756836,7.843322000275139,0.11357816691600546,-1.5781600028739131,-0.6637903747602134
2311179,1759.75,1,195644.0,235376,0.19,-0.86,10.9,-0.03,0.01,0.045,28.35,0.390686,-177.2365456485748,-866.3093433980268,10.935524678770562,0.055,-1.7671116653542058,-1.0008496046040976
2351166,1759.75,1,194853.0,233705,-0.27,-0.78,7.45,-0.02,-0.01,0.045,28.35,0.430673,-200.5548139608407,-961.3172479947249,7.495585367401268,0.05024937810560445,-2.0006985792221896,-1.110930890484611
2391198,1759.75,1,195437.0,235784,0.28,-1.78,11.41,0.01,-0.02,0.01,28.35,0.470705,-216.08677301084808,-844.8082951493669,11.551402512249323,0.024494897427831782,-2.1562874219368386,-0.9759373296829885
2431169,1759.75,1,195787.0,236340,0.26,-1.03,9.2,-0.05,0.03,0.01,28.35,0.510676,-241.4381132189133,-664.6804471139001,9.261128440962256,0.05916079783099616,-2.4102402988108182,-0.7672314833767748
2471169,1759.75,1,195695.0,236161,0.15,-1.57,9.72,0.01,-0.06,0.045,28.35,0.550676,-256.61953514820044,-589.4101186851393,9.847121406786858,0.07566372975210778,-2.562317693628535,-0.6800192184893488
2511166,1840.0,1,195515.0,234984,-0.08,-1.08,9.05,-0.01,0.03,0.01,28.35,0.590673,-198.30099415125096,-643.6270088940076,9.114565266648762,0.033166247903554,-1.9781213103321293,-0.742837833592689
2551178,1950.0,1,195468.0,235694,-0.44,-1.88,10.03,0.01,-0.0,0.0,28.35,0.630685,-108.41534935020192,-670.8910640040848,10.214151947176035,0.01,-1.0777066616565918,-0.7744274392952315
2591176,2031.0,1,195495.0,235396,0.64,-0.63,8.97,0.0,-0.03,-0.0,28.35,0.670683,-41.073167760747815,-461.4173777155597,9.014843315332774,0.03,-0.40311744431134444,-0.5317199209823448
2631178,2128.0,1,196069.0,238290,-0.47,-2.27,11.45,0.0,-0.0,0.0,28.35,0.710685,29.458077258960206,59.85004317193138,11.682307135151001,0.0,0.3034176909222571,0.07224864587001804
2671176,2239.0,1,196910.0,239216,0.31,-1.63,10.33,0.01,0.01,-0.075,28.35,0.750683,134.23198744030597,741.5190315536138,10.462404121424482,0.07632168761236874,1.3529730869491625,0.8620671257581872
2711170,2357.0,1,197423.0,240757,0.15,-1.02,11.59,0.05,-0.12,-0.075,28.35,0.790677,223.6192112477882,1289.9668601820915,11.635763833973257,0.15008331019803633,2.248394885378053,1.4975283799567822
2751178,2349.0,1,197636.0,240948,0.0,-0.73,11.33,-0.0,-0.01,-0.075,28.35,0.830685,212.6760916786492,1468.5941441333998,11.35349285462408,0.07566372975210778,2.1387739866898374,1.7044955917290434
2791252,2320.0,1,197149.0,240371,-0.59,-1.46,10.28,-0.04,-0.06,0.0,28.35,0.870759,156.77642675227682,1260.4423405898804,10.399908653444989,0.07211102550927978,1.5788082962042704,1.463319678107063
2831195,2295.0,1,197053.0,239609,0.25,-1.27,11.82,-0.02,-0.06,-0.0,28.35,0.910702,131.96904419009437,871.2085621498563,11.890660200342115,0.06324555320336758,1.3303044254946899,1.0123324153030606
