window_start_sec,window_end_sec,pat_mean_ms,pat_std_ms,heart_rate_bpm,sdnn,rmssd,ppg_amplitude,pulse_width_ms,accel_motion,gyro_motion,temperature
0.090779,4.960669,126.43500000000004,71.84197788002696,193.47779692932923,87.86050054274271,164.8696951057106,420.422851727314,320.1198400155703,9.992830798279442,0.03234472285578432,31.488387096774186
2.562647,7.437647,151.26099999999985,102.12840150149198,192.39720814976843,105.31026459275922,196.91062042791845,531.6370897669918,365.8512457320803,9.99492128120963,0.03231982815736706,31.77774193548387
5.040648,9.915645,195.3332222222222,75.18970136303055,189.4691591954037,29.907384101179876,38.223873131249434,683.1171702275003,290.10860501411054,9.993718319850576,0.03249409104628789,32.12967741935483
7.517648,12.472646,187.1783333333335,74.01222657026922,180.48548764509601,115.59590320958722,171.12258876119594,718.907420546647,220.08239001070456,9.992812749916679,0.032568775141539684,32.06032258064516
9.995645,14.951645,159.83533333333355,63.92047332341072,185.57177053923596,119.95297305874996,135.51119937327454,706.3454284789905,240.08988001167768,9.994159037851906,0.032568775141539684,31.77419354838709
12.557702,17.429646,193.85714285714326,58.766829371747626,179.7434771701868,92.55895408924347,146.03183246213808,670.7699469268025,250.09362501216424,9.99456409601329,0.03249409104628789,31.61806451612903
15.031646,19.905645,161.15914285714263,73.78105952542204,183.36617062959067,102.04428642245188,165.25298044059508,655.6895208171027,270.1011150131374,9.994407419190031,0.03241940695103611,31.497096774193558
17.509645,22.463646,130.63537499999933,68.11208066844281,205.5419864537848,72.92168784135934,128.23098349942856,687.2624604155477,320.1198400155703,9.992661648319684,0.03234472285578432,31.457741935483867
19.985645,24.941646,125.57099999999923,72.04669628987669,202.12765788382845,113.37293826004564,202.95333319427672,686.6294732587676,300.1123500145971,9.992206331990557,0.03239451225261884,31.666129032258073
22.543645,27.418645,149.74650000000045,72.52544655670793,203.4643131750776,66.30733928753887,115.57087738865859,668.7795160984681,250.09362501216424,9.99375809257261,0.032369617554201584,31.7525806451613
25.026702,29.896646,118.82400000000064,59.325219330960984,197.24315634525345,131.29777881562603,193.11504877576516,721.4849012208822,240.08988001167768,9.994385996107086,0.03251898574470516,31.626774193548382
27.498645,32.299702,132.32350000000002,76.16853608664997,203.54992842439276,75.87927852786771,139.67925191504116,728.9834738259771,240.08988001167768,9.993429975158406,0.03279282742729505,31.57354838709677
29.976645,34.771645,132.9994999999986,75.66373195648673,188.7281441188294,92.2090213313694,161.7146174373525,635.6237613330478,228.65702858255017,9.992843366928193,0.032693248633626,31.5258064516129
32.375646,37.249645,146.49966666666475,72.33211596671399,185.99857207587044,109.53895766250146,184.6375994617595,639.7228827018292,240.0898800116777,9.994821840098282,0.03249409104628789,31.510967741935488
34.851645,39.728646,100.00000000000142,34.64101615137886,165.72951371033602,167.60892438832528,209.09464031270522,659.4048069141879,285.8212857281877,9.995808248341966,0.03254388044312242,31.462580645161292
37.329646,42.205646,181.84914285714325,109.04068823337428,179.66852994231982,86.79287171200386,137.36026798605036,680.8721985844742,270.10111501313736,9.998776833937036,0.03254388044312242,31.463225806451614
39.807645,44.683643,250.42899999999895,123.125680466285,158.79012877776546,188.87113514340777,324.5590200186136,632.8849186942042,251.52273144080522,10.001275712740478,0.03244430164945337,31.786129032258067
42.285646,47.161643,213.33400000000088,119.13330438490544,188.80450549182675,118.28169641842831,215.13128735359848,338.7676249775586,251.52273144080522,9.99883520215893,0.032469196347870634,31.911290322580648
44.768702,49.637643,171.4205714285728,108.31129012362899,177.96345825069807,132.146509339909,203.85807264681463,326.57688728429747,260.0973700126508,9.998434809521862,0.032369617554201584,31.68967741935483
47.241642,52.195643,96.21080000000006,31.922946364018564,179.46169087576968,150.14081588543243,217.72620691510002,845.6353386633906,320.1198400155702,9.998930046422839,0.03224514406211526,31.544516129032257
49.717643,54.673643,200.0130000000002,89.43623710498784,191.47439423993532,44.294745575492435,69.6997145163922,2107.0067325054297,500.1872500243285,9.993216901408827,0.03229493345894979,31.362580645161287
52.275678,57.151643,279.9994999999989,39.99949999999686,170.47449366890143,99.6223527486017,142.39713800079906,1767.9886898803018,533.5330666926171,9.992716226075748,0.03239451225261884,31.233225806451618
54.753642,59.628643,319.5000000000015,80.49999999999713,190.64744398661742,75.92638178622595,134.6450374620843,3760.635744416011,560.209720027248,9.995933366484158,0.03249409104628789,31.207741935483874
59.708643,64.583643,265.67199999999974,135.18696852384443,188.04490264113636,75.2390725031625,122.25124032397423,232.2484760605522,440.1647800214091,9.995678686139852,0.032469196347870634,31.201935483870976
62.185642,67.061642,175.90509999999995,99.56145155074029,186.0627029743021,95.45573081602298,167.72445878557986,12.46812769194115,160.05992000778517,9.993647076169404,0.03244430164945337,31.144516129032258
64.663643,69.539648,211.21535714285503,98.30042406797367,191.22575378609744,79.0076230690765,145.24884550024075,2.700876045163696,160.0599200077851,9.99504359220778,0.03239451225261884,31.092580645161284
67.141643,72.016648,123.17609090909023,39.317534710594074,182.6287972249321,114.24578084793805,182.15102537778986,5.4741855817357274,167.3353709172299,9.997596257552345,0.032369617554201584,31.0716129032258
69.619648,74.494647,138.73600000000152,66.89068365998527,187.29214315529308,109.28145682400091,159.69212046479876,113.4958331010659,480.17976002335536,9.999011327085952,0.032469196347870634,31.017096774193547
72.096647,76.977702,160.67566666666502,66.17165274916282,185.2772067006759,111.19713290895433,191.97376513688792,169.3600395374744,365.8512457320803,9.999450382955082,0.032618564538374216,30.980645161290326
74.574648,79.450648,188.01833333333207,61.75494557433106,181.52194452323945,132.61794938937774,186.88536544874316,175.96530504804988,274.38843429906024,9.996540368343558,0.032568775141539684,30.94903225806451
77.054647,81.928648,182.71742857142615,70.39991580322828,188.60652657776504,118.40902331560852,198.58126023368825,219.25115902805445,251.52273144080525,9.993823233524559,0.03244430164945337,30.917419354838717
79.530648,84.405647,158.48637499999717,67.56539808758673,187.82396644428607,93.6448875381008,166.7536380382736,192.53855651742037,222.30544445525712,9.9948467716612,0.032469196347870634,30.923225806451622
82.008648,86.884662,170.56114285714077,65.77755096737123,179.8874418506317,127.71882750692309,178.5248984514253,233.6242744489488,260.0973700126508,9.996543987511867,0.032469196347870634,30.922580645161293
84.485648,89.361647,175.59779999999705,59.97906203134478,175.22882857810794,142.65485033666434,224.79231004013693,221.75589024287865,251.5227314408052,9.997871350913904,0.03244430164945337,30.9258064516129
86.964647,91.838647,179.74925000000042,68.02704322685065,172.59319603551145,156.57220230380526,204.13900123102118,164.05256834889246,226.75155334436226,9.997151779508142,0.03249409104628789,30.970322580645153
89.446702,94.316648,199.99099999999714,40.009999999995216,181.43053230897104,132.56953377637993,131.9633664810003,1841.9418316617168,533.5330666926171,9.99665505446738,0.03241940695103611,30.923225806451608
91.918648,96.795648,199.99099999999714,40.009999999995216,188.87980526177287,97.12837470500908,115.80373024216162,2516.8277884257795,560.209720027248,9.995937946636923,0.03231982815736706,30.788064516129037
94.396648,99.272648,198.23724999999826,118.5611654049808,177.66329050614024,87.19257903368,134.87159769573694,1318.4106477043106,400.1498000194629,9.993613691914094,0.032369617554201584,30.75999999999999
96.875648,101.750648,159.00066666666626,0.8160883666740998,183.96553452106352,43.3329997148134,74.68294986864947,1541.724683391101,293.4431866809394,9.99596553589693,0.032469196347870634,30.774838709677425
