pat_mean_ms,pat_std_ms,heart_rate_bpm,sdnn,rmssd,ppg_amplitude,pulse_width_ms,accel_motion,gyro_motion,temperature
200.50049999999976,0.5294999999996293,51.78431487625274,56.79554472550362,85.54368723056086,3690.758050287615,405.52819999999997,10.031640679059205,0.09419217455666568,27.52426666666667
240.5159999999995,39.48600000000012,93.89803612257454,40.0109999999998,80.0219999999996,4928.397300331644,223.64684999999992,10.032556870877382,0.08134278399316633,27.488000000000003
180.0102500000005,44.73242901617878,69.82894817237272,142.86315591764554,248.52118655491958,2772.3905679977715,300.73487500000016,10.223375012758405,0.06633803125848942,27.416399999999996
220.0115000000018,20.00849999999943,73.2156432543377,115.22177758710963,172.81912012043117,2598.8340991199434,286.82395,10.157390825706882,0.07818910232322628,27.43026666666666
226.66933333333478,18.866553497894014,72.63909327041176,124.2238291509189,205.1589790991371,2358.2373760437813,289.1005249999999,10.042800780084356,0.08172319826900122,27.43
139.9790000000021,20.000999999998825,103.45046080714636,82.94722516568923,118.20534132037683,2794.7184190291964,202.9957125,9.993766963085305,0.058685130054250245,27.19066666666667
239.98733333333652,0.8262946743674485,87.2596034283716,86.29979042755517,170.1310176724097,4201.585901567296,240.6611900000001,10.063081343523567,0.07551602933664367,27.003733333333336
146.35300000000248,38.64190744084101,107.2957152171433,56.38135212071635,63.19846852377448,3869.6923400526084,195.72076999999996,9.92885155716659,0.06929829244406926,26.886
199.8055999999991,44.53377028098744,104.2386927078084,40.36926078590276,52.932017923943704,4154.450478226829,201.46070000000023,10.01259283360213,0.067182578627922,26.804533333333328
239.58325000000082,27.699041656484113,88.28829306062843,103.56398126259857,175.41076504379544,4154.450478226829,237.85713000000004,10.01460926101693,0.0782315831794315,26.689200000000003
